file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_normal.pcap,172.19.0.31:39446->172.19.0.8:443,10,500,172.19.0.31,39446,172.19.0.8,443,10,4,6,5025,1814,3211,502.5,68,1399,546.8278065351103,299020.65,1.0882145403683787,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.1666666666666,68,1294,545.0013506609156,297026.47222222225,1.0183768620260025,0.01437189843919542,0.0,0.09957504272460938,0.03115766783981664,0.0009708002652163441,0.04310107231140137,0.0,0.1255030632019043,0.05828765660718785,0.0033974509127574493,0.020700597763061525,3.600120544433594e-05,0.09970498085021973,0.03952687290686147,0.0015623736817951795,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.1293470859527588
traffic_record_normal.pcap,172.19.0.39:44653->172.19.0.8:443,10,2603,172.19.0.39,44653,172.19.0.8,443,10,4,6,5025,1814,3211,502.5,68,1399,546.8278065351103,299020.65,1.0882145403683787,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.1666666666666,68,1294,545.0013506609156,297026.47222222225,1.0183768620260025,0.005162106619940864,0.0,0.03307604789733887,0.010326777698306096,0.00010664233763023216,0.015468994776407877,0.0,0.04288506507873535,0.01943933575542748,0.00037788777461224125,0.007347011566162109,3.695487976074219e-05,0.03322887420654297,0.013004725712298684,0.0001691228908521225,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.04645895957946777
traffic_record_normal.pcap,172.19.0.30:51972->172.19.0.8:443,10,2667,172.19.0.30,51972,172.19.0.8,443,10,4,6,5025,1814,3211,502.5,68,1399,546.8278065351103,299020.65,1.0882145403683787,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.1666666666666,68,1294,545.0013506609156,297026.47222222225,1.0183768620260025,0.006111886766221788,0.0,0.04297494888305664,0.013316601534795351,0.0001773318764365139,0.018315951029459637,0.0,0.05173993110656738,0.023670579826816227,0.0005602963493376794,0.009258413314819336,2.2172927856445312e-05,0.043077945709228516,0.01695203269873543,0.0002873714126189952,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.055006980895996094
traffic_record_normal.pcap,172.19.0.31:54239->172.19.0.8:443,10,115,172.19.0.31,54239,172.19.0.8,443,10,6,4,5117,830,4287,511.7,131,1292,517.0417874795035,267332.20999999996,1.0104392954455803,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,1071.75,411,1292,381.48419036704524,145530.1875,0.35594512747100093,0.005202664269341363,2.002716064453125e-05,0.03337717056274414,0.010489385026708094,0.00011002719823852798,0.009176826477050782,2.002716064453125e-05,0.03337717056274414,0.012815758591762117,0.00016424366828232453,0.00045561790466308594,3.600120544433594e-05,0.001283884048461914,0.0005856897209792418,3.430324492607421e-07,6,4,0.6,0.4,0,0.0,1.0,0,4,6,0,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.8464393446710154,0.046823978424072266
traffic_record_normal.pcap,172.19.0.30:55314->172.19.0.8:443,10,42,172.19.0.8,443,172.19.0.30,55314,10,6,4,7417,6871,546,741.7,131,1292,555.7609288174187,308870.21,0.7493069014661167,1145.1666666666667,411,1292,328.3293146962191,107800.13888888889,0.2867087597405493,136.5,131,142,5.5,30.25,0.040293040293040296,0.0014643139309353298,0.0,0.011270999908447266,0.0034910255793020725,1.2187259595341371e-05,0.002612781524658203,2.7894973754882812e-05,0.01264500617980957,0.00501670114495516,2.5167290377794412e-05,0.0006146430969238281,0.0,0.0015311241149902344,0.000660512357621421,4.3627657457060803e-07,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.9709505944546686,1.7609640474436812,0.013178825378417969
traffic_record_normal.pcap,172.19.0.39:45983->172.19.0.8:443,10,126,172.19.0.8,443,172.19.0.39,45983,10,7,3,8578,8163,415,857.8,131,1292,537.0089012297656,288378.56000000006,0.6260304281065115,1166.142857142857,411,1292,308.2857804845686,95040.12244897962,0.26436364858409656,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0017488797505696614,9.5367431640625e-07,0.01359415054321289,0.004217053723906424,1.7783542110313036e-05,0.002623319625854492,2.5033950805664062e-05,0.015247106552124023,0.005645903884192839,3.187623066954378e-05,0.0008869171142578125,9.5367431640625e-07,0.0017728805541992188,0.0008859634399414062,7.849312169128098e-07,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.8812908992306927,1.5709505944546687,0.015739917755126953
traffic_record_normal.pcap,172.19.0.30:47432->172.19.0.8:443,10,80,172.19.0.8,443,172.19.0.30,47432,10,7,3,8578,8163,415,857.8,131,1292,537.0089012297656,288378.56000000006,0.6260304281065115,1166.142857142857,411,1292,308.2857804845686,95040.12244897962,0.26436364858409656,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0015649795532226562,0.0,0.011986017227172852,0.003708162507130125,1.3750469179285574e-05,0.0023474693298339844,9.584426879882812e-05,0.013419151306152344,0.004951584899343882,2.451819301541036e-05,0.0008090734481811523,0.0,0.0016181468963623047,0.0008090734481811523,6.545998445517398e-07,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.8812908992306927,1.5709505944546687,0.014084815979003906
traffic_record_normal.pcap,172.19.0.39:39373->172.19.0.8:443,10,2780,172.19.0.39,39373,172.19.0.8,443,10,4,6,5025,1814,3211,502.5,68,1399,546.8278065351103,299020.65,1.0882145403683787,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.1666666666666,68,1294,545.0013506609156,297026.47222222225,1.0183768620260025,0.004612896177503798,1.1920928955078125e-06,0.028970956802368164,0.009022707802200935,8.140925608389762e-05,0.01379537582397461,1.1920928955078125e-06,0.03782796859741211,0.017055498037673894,0.000290890013313098,0.006573390960693359,9.489059448242188e-05,0.02925395965576172,0.011406627082035454,0.00013011114138862466,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.04151606559753418
traffic_record_normal.pcap,172.19.0.31:58244->172.19.0.8:443,10,2760,172.19.0.31,58244,172.19.0.8,443,10,4,6,5025,1814,3211,502.5,68,1399,546.8278065351103,299020.65,1.0882145403683787,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.1666666666666,68,1294,545.0013506609156,297026.47222222225,1.0183768620260025,0.0047829945882161455,0.0,0.030138015747070312,0.009411807345899487,8.858211751632756e-05,0.014311710993448893,0.0,0.039585113525390625,0.01792324959827905,0.00032124287616221007,0.00676579475402832,5.1021575927734375e-05,0.030308008193969727,0.011834083151067975,0.00014004552402639093,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.04304695129394531
traffic_record_normal.pcap,172.19.0.30:36338->172.19.0.8:443,10,2706,172.19.0.30,36338,172.19.0.8,443,10,4,6,5025,1814,3211,502.5,68,1399,546.8278065351103,299020.65,1.0882145403683787,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.1666666666666,68,1294,545.0013506609156,297026.47222222225,1.0183768620260025,0.005695766872829861,0.0,0.03347492218017578,0.010275590588686434,0.00010558776194630122,0.015842676162719727,0.0,0.04373002052307129,0.01978019544443957,0.0003912561318202279,0.008248186111450196,0.00010704994201660156,0.03407096862792969,0.013120033385925937,0.0001721352760478112,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.05126190185546875
traffic_record_normal.pcap,172.19.0.39:55125->172.19.0.8:443,10,44,172.19.0.8,443,172.19.0.39,55125,10,7,3,8578,8163,415,857.8,131,1292,537.0089012297656,288378.56000000006,0.6260304281065115,1166.142857142857,411,1292,308.2857804845686,95040.12244897962,0.26436364858409656,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.001354217529296875,0.0,0.010092973709106445,0.0031210652107198445,9.741048049565708e-06,0.0020313262939453125,9.989738464355469e-05,0.01158905029296875,0.004274380715939516,1.8270330504795613e-05,0.0008165836334228516,0.0,0.0016331672668457031,0.0008165836334228516,6.66808830374066e-07,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.8812908992306927,1.5709505944546687,0.012187957763671875
traffic_record_normal.pcap,172.19.0.31:46520->172.19.0.8:443,10,118,172.19.0.8,443,172.19.0.31,46520,10,7,3,8578,8163,415,857.8,131,1292,537.0089012297655,288378.56,0.6260304281065114,1166.142857142857,411,1292,308.2857804845686,95040.12244897962,0.26436364858409656,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0015338791741265191,5.412101745605469e-05,0.01125192642211914,0.0034716032272037595,1.2052028967131557e-05,0.002300818761189779,6.985664367675781e-05,0.013194084167480469,0.004871717691320369,2.3733633263923868e-05,0.0010991096496582031,0.0004911422729492188,0.0017070770263671875,0.0006079673767089844,3.696243311424041e-07,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.8812908992306927,1.5709505944546687,0.013804912567138672
traffic_record_normal.pcap,172.19.0.39:60286->172.19.0.8:443,10,80,172.19.0.8,443,172.19.0.39,60286,10,6,4,7417,6871,546,741.7,131,1292,555.7609288174187,308870.21,0.7493069014661167,1145.1666666666667,411,1292,328.3293146962191,107800.13888888889,0.2867087597405493,136.5,131,142,5.5,30.25,0.040293040293040296,0.0013350115882025824,0.0,0.009852886199951172,0.003044937450798764,9.271644079276876e-06,0.0023834228515625,0.000102996826171875,0.01137995719909668,0.00449833461141957,2.0235014276295256e-05,0.0006323655446370443,0.0,0.0016739368438720703,0.0007421155128033976,5.507354343434498e-07,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.9709505944546686,1.7609640474436812,0.012015104293823242
traffic_record_normal.pcap,172.19.0.30:36185->172.19.0.8:443,10,120,172.19.0.8,443,172.19.0.30,36185,10,7,3,8578,8163,415,857.8,131,1292,537.0089012297656,288378.56000000006,0.6260304281065115,1166.142857142857,411,1292,308.2857804845686,95040.12244897962,0.26436364858409656,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.00212354130215115,0.0,0.016789913177490234,0.005208134243293817,2.712466229616966e-05,0.003185311953226725,9.608268737792969e-05,0.01844191551208496,0.00682309851809504,4.6554673387630726e-05,0.0009340047836303711,0.0,0.0018680095672607422,0.0009340047836303711,8.723649358444163e-07,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.8812908992306927,1.5709505944546687,0.01911187171936035
traffic_record_normal.pcap,172.19.0.39:50217->172.19.0.8:443,10,2757,172.19.0.39,50217,172.19.0.8,443,10,4,6,5026,1814,3212,502.6,68,1399,546.7548262246983,298940.83999999997,1.087852817796853,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.3333333333334,68,1294,544.8693013517604,296882.55555555556,1.017813140756713,0.004815340042114258,0.0,0.030432939529418945,0.009490429416854526,9.006825051629776e-05,0.01440866788228353,0.0,0.03985404968261719,0.01804518605441704,0.0003256287397385272,0.006832408905029297,0.00010204315185546875,0.030709028244018555,0.011993020705439035,0.0001438325456410894,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.04333806037902832
traffic_record_normal.pcap,172.19.0.31:41039->172.19.0.8:443,10,2806,172.19.0.31,41039,172.19.0.8,443,10,4,6,5025,1814,3211,502.5,68,1399,546.8278065351103,299020.65,1.0882145403683787,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.1666666666666,68,1294,545.0013506609156,297026.47222222225,1.0183768620260025,0.0052543216281467015,0.0,0.03416609764099121,0.010602182368978107,0.0001124062709850702,0.015724976857503254,0.0,0.043473005294799805,0.019678937544291706,0.0003872605828721337,0.00764617919921875,0.00011682510375976562,0.034446001052856445,0.013458296060658804,0.00018112573285634427,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.04728889465332031
traffic_record_normal.pcap,172.19.0.30:34329->172.19.0.8:443,10,2772,172.19.0.30,34329,172.19.0.8,443,10,4,6,5025,1814,3211,502.5,68,1399,546.8278065351103,299020.65,1.0882145403683787,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.1666666666666,68,1294,545.0013506609156,297026.47222222225,1.0183768620260025,0.0048927730984157985,0.0,0.0312039852142334,0.009708754768766254,9.425991916004146e-05,0.014636993408203125,0.0,0.04035592079162598,0.018243848848462953,0.00033283802080556296,0.007019615173339844,9.202957153320312e-05,0.031455039978027344,0.012280114356205268,0.00015080120860147872,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.04403495788574219
traffic_record_normal.pcap,172.19.0.39:60804->172.19.0.8:443,10,119,172.19.0.8,443,172.19.0.39,60804,10,7,3,8578,8163,415,857.8,131,1292,537.0089012297656,288378.56000000006,0.6260304281065115,1166.142857142857,411,1292,308.2857804845686,95040.12244897962,0.26436364858409656,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0018991099463568793,0.0,0.014919042587280273,0.004627940751106179,2.1417835595749225e-05,0.002848664919535319,9.393692016601562e-05,0.01652693748474121,0.006117132956424377,3.741931560657324e-05,0.0008749961853027344,0.0,0.0017499923706054688,0.0008749961853027344,7.656183242943371e-07,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.8812908992306927,1.5709505944546687,0.017091989517211914
traffic_record_normal.pcap,172.19.0.31:33773->172.19.0.8:443,10,47,172.19.0.8,443,172.19.0.31,33773,10,7,3,8578,8163,415,857.8,131,1292,537.0089012297656,288378.56000000006,0.6260304281065115,1166.142857142857,411,1292,308.2857804845686,95040.12244897962,0.26436364858409656,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0034417841169569227,0.0,0.02793097496032715,0.008681017376595868,7.53600626927594e-05,0.005162676175435384,0.00011301040649414062,0.03006911277770996,0.011138629772221869,0.0001240690732026274,0.001134037971496582,0.0,0.002268075942993164,0.001134037971496582,1.2860421207960826e-06,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.8812908992306927,1.5709505944546687,0.030976057052612305
traffic_record_normal.pcap,172.19.0.39:59259->172.19.0.8:443,10,2736,172.19.0.39,59259,172.19.0.8,443,10,4,6,5025,1814,3211,502.5,68,1399,546.8278065351103,299020.65,1.0882145403683787,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.1666666666666,68,1294,545.0013506609156,297026.47222222225,1.0183768620260025,0.005357212490505642,0.0,0.03441190719604492,0.010737271030625955,0.00011528898918511935,0.016034682591756184,0.0,0.044795989990234375,0.020382106761071887,0.00041543027601973235,0.00761256217956543,9.417533874511719e-05,0.034680843353271484,0.013581122552103156,0.00018444688977524494,2,8,0.2,0.8,0,0.0,1.0,1,7,2,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.04821491241455078
traffic_record_normal.pcap,172.19.0.30:36918->172.19.0.8:443,10,45,172.19.0.8,443,172.19.0.30,36918,10,7,3,8578,8163,415,857.8,131,1292,537.0089012297656,288378.56000000006,0.6260304281065115,1166.142857142857,411,1292,308.2857804845686,95040.12244897962,0.26436364858409656,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0014929771423339844,3.218650817871094e-05,0.011538982391357422,0.0035682262063185294,1.2732238259458325e-05,0.0022394657135009766,9.298324584960938e-05,0.012902021408081055,0.004768448493257779,2.273810103285238e-05,0.000746607780456543,0.00030112266540527344,0.0011920928955078125,0.00044548511505126953,1.9845698773224285e-07,8,2,0.8,0.2,0,0.0,1.0,0,2,8,0,0,0.0,0.2,0.0,0.8,0.0,0.8812908992306927,1.5709505944546687,0.01343679428100586
