file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,handshake_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_normal1.pcap,172.19.0.39:33326->172.19.0.8:443,10,41,172.19.0.39,33326,172.19.0.8,443,10,7,3,3978,983,2995,397.8,131,1292,454.21862577397684,206314.56000000003,1.1418266107943107,140.42857142857142,131,142,3.8491981672307083,14.816326530612242,0.027410363347522847,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,0.024278667238023546,0.0,0.12543201446533203,0.04056619420274057,0.0016456161120944623,0.03336966037750244,0.0,0.12543201446533203,0.04673032744349162,0.0021837235029759463,3.349781036376953e-05,2.9087066650390625e-05,3.790855407714844e-05,4.410743713378906e-06,1.9454660105111543e-11,4,6,0.4,0.6,0,0.0,1.0,4,6,0,0,0,0.0,0.6,0.0,0.4,0.0,0.8812908992306927,1.5709505944546687,0.21850800514221191
traffic_record_normal1.pcap,172.19.0.31:48486->172.19.0.8:443,10,36,172.19.0.8,443,172.19.0.31,48486,10,8,2,9739,9455,284,973.9,142,1292,490.8446699313337,240928.48999999993,0.5039990450059901,1181.875,411,1292,291.36336313098803,84892.609375,0.24652637811188835,142.0,142,142,0.0,0.0,0.0,0.0012481212615966797,0.0,0.009334087371826172,0.0029046350741799747,8.436904914156508e-06,0.001604727336338588,2.288818359375e-05,0.011013031005859375,0.0038409293659065658,1.4752738393883415e-05,0.0,0.0,0.0,0.0,0.0,8,2,0.8,0.2,0,0.0,1.0,8,2,0,0,0,0.0,0.2,0.0,0.8,0.0,0.7219280948873623,1.1567796494470395,0.011233091354370117
traffic_record_normal1.pcap,172.19.0.39:42169->172.19.0.8:443,10,81,172.19.0.8,443,172.19.0.39,42169,10,8,2,9739,9455,284,973.9,142,1292,490.8446699313337,240928.48999999993,0.5039990450059901,1181.875,411,1292,291.36336313098803,84892.609375,0.24652637811188835,142.0,142,142,0.0,0.0,0.0,0.0012448893653021918,1.9073486328125e-05,0.009751081466674805,0.003030560234761803,9.184295336519514e-06,0.0016005720411028182,2.384185791015625e-05,0.011001110076904297,0.0038377598868431133,1.4728400949062065e-05,1.9073486328125e-05,1.9073486328125e-05,1.9073486328125e-05,0.0,0.0,8,2,0.8,0.2,0,0.0,1.0,8,2,0,0,0,0.0,0.2,0.0,0.8,0.0,0.7219280948873623,1.1567796494470395,0.011204004287719727
traffic_record_normal1.pcap,172.19.0.30:46188->172.19.0.8:443,10,35,172.19.0.8,443,172.19.0.30,46188,10,8,2,9739,9455,284,973.9,142,1292,490.8446699313337,240928.48999999993,0.5039990450059901,1181.875,411,1292,291.36336313098803,84892.609375,0.24652637811188835,142.0,142,142,0.0,0.0,0.0,0.0017391310797797309,0.0,0.014198780059814453,0.004421105815744186,1.954617663400706e-05,0.0022360256740025113,2.002716064453125e-05,0.01543283462524414,0.0053875815529666965,2.902603498986704e-05,0.0,0.0,0.0,0.0,0.0,8,2,0.8,0.2,0,0.0,1.0,8,2,0,0,0,0.0,0.2,0.0,0.8,0.0,0.7219280948873623,1.1567796494470395,0.015652179718017578
traffic_record_normal1.pcap,172.19.0.31:43212->172.19.0.8:443,10,75,172.19.0.8,443,172.19.0.31,43212,10,8,2,9739,9455,284,973.9,142,1292,490.8446699313337,240928.48999999993,0.5039990450059901,1181.875,411,1292,291.36336313098803,84892.609375,0.24652637811188835,142.0,142,142,0.0,0.0,0.0,0.0013339784410264757,0.0,0.01057887077331543,0.0032915624143307932,1.083438312743516e-05,0.0017151151384626115,2.3126602172851562e-05,0.01184701919555664,0.004136332942358643,1.710925021004131e-05,0.0,0.0,0.0,0.0,0.0,8,2,0.8,0.2,0,0.0,1.0,8,2,0,0,0,0.0,0.2,0.0,0.8,0.0,0.7219280948873623,1.1567796494470395,0.012005805969238281
traffic_record_normal1.pcap,172.19.0.39:50179->172.19.0.8:443,10,493,172.19.0.39,50179,172.19.0.8,443,10,4,6,5032,1814,3218,503.2,68,1399,546.3201991506446,298465.75999999995,1.0856919696952396,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,536.3333333333334,68,1294,544.0816932124154,296024.88888888893,1.0144469108994694,0.010338120990329318,9.5367431640625e-07,0.07049894332885742,0.02193996187602301,0.0004813619271213431,0.03100132942199707,9.5367431640625e-07,0.08823609352111816,0.040517834139851806,0.0016416948833845406,0.015073585510253906,2.8133392333984375e-05,0.07233405113220215,0.02865186368203491,0.0008209292924539112,2,8,0.2,0.8,0,0.0,1.0,2,7,1,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.09304308891296387
traffic_record_normal1.pcap,172.19.0.30:47944->172.19.0.8:443,10,75,172.19.0.8,443,172.19.0.30,47944,10,8,2,9739,9455,284,973.9,142,1292,490.8446699313337,240928.48999999993,0.5039990450059901,1181.875,411,1292,291.36336313098803,84892.609375,0.24652637811188835,142.0,142,142,0.0,0.0,0.0,0.0017440054151746961,0.0,0.014275074005126953,0.004446465742972182,1.977105760342516e-05,0.002242292676653181,2.193450927734375e-05,0.01551198959350586,0.0054173332977747735,2.9347500059179302e-05,0.0,0.0,0.0,0.0,0.0,8,2,0.8,0.2,0,0.0,1.0,8,2,0,0,0,0.0,0.2,0.0,0.8,0.0,0.7219280948873623,1.1567796494470395,0.015696048736572266
traffic_record_normal1.pcap,172.19.0.31:43027->172.19.0.8:443,10,2532,172.19.0.31,43027,172.19.0.8,443,10,4,6,5026,1814,3212,502.6,68,1399,546.7548262246983,298940.83999999997,1.087852817796853,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,535.3333333333334,68,1294,544.8693013517604,296882.55555555556,1.017813140756713,0.007168213526407878,9.5367431640625e-07,0.046339988708496094,0.014462597443312035,0.00020916672480729583,0.021491289138793945,9.5367431640625e-07,0.059706926345825195,0.027092466135407965,0.0007340017212982275,0.010245180130004883,3.3855438232421875e-05,0.04648303985595703,0.01820541118079458,0.0003314369962618002,2,8,0.2,0.8,0,0.0,1.0,2,7,1,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.0645139217376709
traffic_record_normal1.pcap,172.19.0.30:54964->172.19.0.8:443,10,2636,172.19.0.30,54964,172.19.0.8,443,10,4,6,5031,1814,3217,503.1,68,1399,546.3922492129624,298544.48999999993,1.086050982335445,453.5,131,1399,545.9031507511199,298010.25,1.203755569462227,536.1666666666666,68,1294,544.2124023659227,296167.1388888889,1.0150060348758272,0.004469129774305556,0.0,0.02869701385498047,0.008965417297679008,8.037870732152196e-05,0.01339101791381836,0.0,0.037217140197753906,0.01689077526415423,0.0002852982890241644,0.006350231170654297,2.09808349609375e-05,0.028800010681152344,0.01127801627186236,0.0001271936510283922,2,8,0.2,0.8,0,0.0,1.0,2,7,1,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.9219280948873623,0.04022216796875
traffic_record_normal1.pcap,172.19.0.39:58984->172.19.0.8:443,10,109,172.19.0.8,443,172.19.0.39,58984,10,8,2,9739,9455,284,973.9,142,1292,490.8446699313337,240928.48999999993,0.5039990450059901,1181.875,411,1292,291.36336313098803,84892.609375,0.24652637811188835,142.0,142,142,0.0,0.0,0.0,0.0013122293684217664,0.0,0.010389089584350586,0.003232172499511887,1.0446939066600918e-05,0.0016871520451136998,2.4080276489257812e-05,0.01164698600769043,0.00406608600734785,1.6533055419149978e-05,0.0,0.0,0.0,0.0,0.0,8,2,0.8,0.2,0,0.0,1.0,8,2,0,0,0,0.0,0.2,0.0,0.8,0.0,0.7219280948873623,1.1567796494470395,0.011810064315795898
