file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_1O.pcap,172.19.0.22:50778->172.19.0.8:443,16,172.19.0.8,443,172.19.0.22,50778,16,16,0,20688,20688,0,1293.0,1292,1294,1.0,1.0,0.0007733952049497294,1293.0,1292,1294,1.0,1.0,0.0007733952049497294,0.0,0,0,0.0,0.0,0.0,6.133715311686198e-05,4.887580871582031e-05,0.00010514259338378906,1.3618541216311307e-05,1.8546466486036984e-10,6.133715311686198e-05,4.887580871582031e-05,0.00010514259338378906,1.3618541216311307e-05,1.8546466486036984e-10,0.0,0.0,0.0,0.0,0.0,16,0,1.0,0.0,0,0.0,1.0,16,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009200572967529297
normal_traffic_recording_1O.pcap,172.19.0.37:38365->172.19.0.8:443,16,172.19.0.37,38365,172.19.0.8,443,16,1,15,19511,131,19380,1219.4375,131,1292,281.0333540591757,78979.74609375,0.23046146609332227,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,6.400744120279947e-05,4.482269287109375e-05,0.00014710426330566406,2.4944382344443118e-05,6.222222105457656e-10,0.0,0.0,0.0,0.0,0.0,5.8071953909737726e-05,4.482269287109375e-05,8.487701416015625e-05,1.1756551920725467e-05,1.3821651306471369e-10,16,0,1.0,0.0,0,0.0,1.0,16,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3372900666170139,0.3372900666170139,0.0009601116180419922
normal_traffic_recording_1O.pcap,172.19.0.23:52999->172.19.0.8:443,16,172.19.0.23,52999,172.19.0.8,443,16,1,15,19788,406,19382,1236.75,406,1294,214.49927156053468,46009.9375,0.17343785854904764,406.0,406,406,0.0,0.0,0.0,1292.1333333333334,1292,1294,0.4988876515698588,0.24888888888888885,0.0003860961084278135,0.001417255401611328,2.09808349609375e-05,0.02075481414794922,0.0051681883207296995,2.6710170518526874e-05,0.0,0.0,0.0,0.0,0.0,3.600120544433594e-05,2.09808349609375e-05,6.604194641113281e-05,9.618983570449535e-06,9.252484492857808e-11,16,0,1.0,0.0,0,0.0,1.0,16,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3372900666170139,0.3372900666170139,0.021258831024169922
normal_traffic_recording_1O.pcap,172.19.0.21:45797->172.19.0.8:443,16,172.19.0.21,45797,172.19.0.8,443,16,1,15,19511,131,19380,1219.4375,131,1292,281.0333540591757,78979.74609375,0.23046146609332227,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,9.932518005371094e-05,4.38690185546875e-05,0.0007040500640869141,0.00016218125532646005,2.6302759579266424e-08,0.0,0.0,0.0,0.0,0.0,5.613054547991071e-05,4.38690185546875e-05,8.392333984375e-05,1.3959988580959894e-05,1.9488128118053063e-10,16,0,1.0,0.0,0,0.0,1.0,16,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3372900666170139,0.3372900666170139,0.001489877700805664
normal_traffic_recording_1O.pcap,172.19.0.17:38245->172.19.0.8:443,16,172.19.0.17,38245,172.19.0.8,443,16,1,15,19715,333,19382,1232.1875,333,1294,232.16971668103056,53902.77734375,0.1884207693074557,333.0,333,333,0.0,0.0,0.0,1292.1333333333334,1292,1294,0.4988876515698588,0.24888888888888885,0.0003860961084278135,0.0003253936767578125,1.7881393432617188e-05,0.0042209625244140625,0.0010415116796647379,1.0847465788780633e-06,0.0,0.0,0.0,0.0,0.0,4.713875906808036e-05,1.7881393432617188e-05,0.0001289844512939453,2.900843138743448e-05,8.414890915594938e-10,16,0,1.0,0.0,0,0.0,1.0,16,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3372900666170139,0.3372900666170139,0.0048809051513671875
normal_traffic_recording_1O.pcap,172.19.0.24:47449->172.19.0.8:443,16,172.19.0.24,47449,172.19.0.8,443,16,3,13,14747,393,14354,921.6875,71,1292,549.5079297369147,301958.96484375,0.5961976588994802,131.0,131,131,0.0,0.0,0.0,1104.1538461538462,71,1292,440.53828021110826,194073.97633136096,0.3989826976971163,1.0875633398691813,3.4809112548828125e-05,15.000757932662964,3.731570024847003,13.924614850336665,8.156161546707153,1.2857201099395752,15.026602983474731,6.870441436767578,47.20296553605294,1.3573004206021626,3.4809112548828125e-05,15.026695013046265,4.136052639717931,17.106931438517666,16,0,1.0,0.0,0,0.0,1.0,16,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.6962122601251458,1.1994602933016414,16.31345009803772
normal_traffic_recording_1O.pcap,172.19.0.36:41103->172.19.0.8:443,16,172.19.0.36,41103,172.19.0.8,443,16,3,13,14747,393,14354,921.6875,71,1292,549.5079297369147,301958.96484375,0.5961976588994802,131.0,131,131,0.0,0.0,0.0,1104.1538461538462,71,1292,440.53828021110826,194073.97633136096,0.3989826976971163,1.7391663392384846,3.886222839355469e-05,15.000777959823608,4.4824742556430985,20.09257545250315,13.043407559394836,11.060070037841797,15.026745080947876,1.9833375215530396,3.9336277244001536,2.1717939972877502,3.886222839355469e-05,15.027516841888428,4.924133664104832,24.247092341970475,16,0,1.0,0.0,0,0.0,1.0,16,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.6962122601251458,1.1994602933016414,26.08749508857727
normal_traffic_recording_1O.pcap,172.19.0.38:50464->172.19.0.8:443,16,172.19.0.38,50464,172.19.0.8,443,16,6,10,13057,2323,10734,816.0625,68,1399,559.028003407477,312512.30859375,0.6850308688458016,387.1666666666667,131,1399,462.02107335296097,213463.47222222216,1.1933389755134591,1073.4,68,1294,441.981945332612,195348.04,0.41175884603373575,0.03598252932230631,2.7894973754882812e-05,0.3481409549713135,0.08675281962072064,0.00752605171214529,0.107781982421875,2.7894973754882812e-05,0.3482661247253418,0.12451671475862712,0.015504412254281308,0.05136577288309733,3.4809112548828125e-05,0.38062500953674316,0.11913529808210277,0.014193219249111481,11,5,0.6875,0.3125,0,0.0,1.0,11,1,4,0,0,0.0625,0.25,0.0,0.6875,0.0,0.954434002924965,2.202819531114783,0.5397379398345947
normal_traffic_recording_1O.pcap,172.19.0.22:36823->172.19.0.8:443,16,172.19.0.22,36823,172.19.0.8,443,16,6,10,13059,2323,10736,816.1875,68,1399,558.9186231856567,312390.02734375,0.6847919420300564,387.1666666666667,131,1399,462.02107335296097,213463.47222222216,1.1933389755134591,1073.6,68,1294,441.6440195451536,195049.44,0.4113673803512981,0.04261445999145508,2.4080276489257812e-05,0.5328381061553955,0.13154465641921578,0.017303996632449525,0.12743520736694336,0.01172184944152832,0.5328381061553955,0.2029956085912464,0.04120721710733051,0.06731642617119683,2.4080276489257812e-05,0.5463199615478516,0.17035864861927216,0.029022069159384642,11,5,0.6875,0.3125,0,0.0,1.0,11,1,4,0,0,0.0625,0.25,0.0,0.6875,0.0,0.954434002924965,2.202819531114783,0.6392168998718262
normal_traffic_recording_1O.pcap,172.19.0.40:53403->172.19.0.8:443,16,172.19.0.40,53403,172.19.0.8,443,16,2,14,17129,262,16867,1070.5625,71,1292,461.1215903574132,212633.12109375,0.43072832306139364,131.0,131,131,0.0,0.0,0.0,1204.7857142857142,71,1292,314.45557909582357,98882.31122448975,0.26100540151429,0.8801769256591797,1.5020370483398438e-05,13.17295217514038,3.285389320116454,10.793782984735255,13.200196981430054,13.200196981430054,13.200196981430054,0.0,0.0,1.0134930060460017,1.5020370483398438e-05,13.17513918876648,3.5107648487008287,12.325469822873352,16,0,1.0,0.0,0,0.0,1.0,16,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.5435644431995964,0.8683927290103626,13.202653884887695
