file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_25.pcap,172.19.0.63:41927->172.19.0.8:443,17,172.19.0.63,41927,172.19.0.8,443,17,9,8,10061,3998,6063,591.8235294117648,69,1399,552.5127877459827,305270.38062283734,0.9335769199564362,444.22222222222223,131,1399,515.9174735422059,266170.8395061728,1.1613950129764516,757.875,69,1294,545.1374683279439,297174.859375,0.7192973357452666,0.08135737478733063,0.0,0.5920140743255615,0.16766117603321232,0.028110269948839806,0.1611802577972412,0.0,0.6078729629516602,0.21439018883080244,0.045963153066907125,0.10138627461024693,8.296966552734375e-05,0.463054895401001,0.17022976801448217,0.028978173918264412,5,12,0.29411764705882354,0.7058823529411765,0,0.0,1.0,3,9,5,0,0,0.17647058823529413,0.5294117647058824,0.0,0.29411764705882354,0.0,0.9975025463691152,2.939829017466402,1.30171799659729
normal_traffic_recording_25.pcap,172.19.0.54:51518->172.19.0.8:443,17,172.19.0.8,443,172.19.0.54,51518,17,13,4,17334,16810,524,1019.6470588235294,131,1294,492.9406289481727,242990.46366782003,0.483442407529649,1293.076923076923,1282,1294,3.1976322601271585,10.22485207100592,0.0024728863403719846,131.0,131,131,0.0,0.0,0.0,0.012019813060760498,3.504753112792969e-05,0.08268094062805176,0.023112063970350493,0.0005341675009695734,0.016026417414347332,3.504753112792969e-05,0.10940694808959961,0.03208790194021335,0.0010296334509247473,0.04605364799499512,0.0010919570922851562,0.13456010818481445,0.06258619143876837,0.0039170313588101635,17,0,1.0,0.0,0,0.0,1.0,0,0,17,0,0,0.0,0.0,0.0,1.0,0.0,0.7871265862012691,1.086312840741288,0.19231700897216797
normal_traffic_recording_25.pcap,172.19.0.19:39831->172.19.0.8:443,17,172.19.0.8,443,172.19.0.19,39831,17,16,1,18351,18220,131,1079.4705882352941,66,1292,459.2964079017151,210953.19031141864,0.4254830218696069,1138.75,66,1292,405.4613884206485,164398.9375,0.3560582993814696,131.0,131,131,0.0,0.0,0.0,0.010471493005752563,8.797645568847656e-05,0.1397418975830078,0.033982190560277514,0.0011547892752750144,0.0111695925394694,8.797645568847656e-05,0.1662588119506836,0.041449337717118666,0.001718047597187756,0.0,0.0,0.0,0.0,0.0,17,0,1.0,0.0,0,0.0,1.0,0,0,17,0,0,0.0,0.0,0.0,1.0,0.0,0.3227569588973982,0.8343470230852537,0.16754388809204102
normal_traffic_recording_25.pcap,172.19.0.40:54628->172.19.0.8:443,17,172.19.0.8,443,172.19.0.40,54628,17,17,0,21964,21964,0,1292.0,1292,1292,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0001008063554763794,8.320808410644531e-05,0.00023484230041503906,3.560181178877241e-05,1.267489002643174e-09,0.0001008063554763794,8.320808410644531e-05,0.00023484230041503906,3.560181178877241e-05,1.267489002643174e-09,0.0,0.0,0.0,0.0,0.0,17,0,1.0,0.0,0,0.0,1.0,0,0,17,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0016129016876220703
normal_traffic_recording_25.pcap,172.19.0.62:36629->172.19.0.8:443,17,172.19.0.8,443,172.19.0.62,36629,17,15,2,19658,19396,262,1156.3529411764705,131,1294,374.41404278221984,140185.87543252597,0.32378872353737603,1293.0666666666666,1284,1294,2.6195843605851334,6.862222222222223,0.0020258695302524748,131.0,131,131,0.0,0.0,0.0,0.001336127519607544,2.4080276489257812e-05,0.019714832305908203,0.004746247891208726,2.2526869044803277e-05,0.0015270028795514787,2.4080276489257812e-05,0.019920825958251953,0.005103243551364545,2.604309474454381e-05,0.020097970962524414,0.020097970962524414,0.020097970962524414,0.0,0.0,17,0,1.0,0.0,0,0.0,1.0,0,0,17,0,0,0.0,0.0,0.0,1.0,0.0,0.5225593745369408,0.8343470230852538,0.021378040313720703
normal_traffic_recording_25.pcap,172.19.0.50:38117->172.19.0.8:443,17,172.19.0.8,443,172.19.0.50,38117,17,16,1,20825,20694,131,1225.0,131,1294,273.5066404183657,74805.88235294117,0.22327072687213526,1293.375,1286,1294,1.964529205687714,3.859375,0.001518916946506399,131.0,131,131,0.0,0.0,0.0,0.001153990626335144,3.886222839355469e-05,0.016193151473999023,0.003895193143295331,1.517252962357496e-05,0.001230923334757487,3.886222839355469e-05,0.017521142959594727,0.004353915743726302,1.8956582303467756e-05,0.0,0.0,0.0,0.0,0.0,17,0,1.0,0.0,0,0.0,1.0,0,0,17,0,0,0.0,0.0,0.0,1.0,0.0,0.3227569588973982,0.6402064333604701,0.018463850021362305
normal_traffic_recording_25.pcap,172.19.0.60:48251->172.19.0.8:443,17,172.19.0.8,443,172.19.0.60,48251,17,13,4,17336,16812,524,1019.7647058823529,131,1294,492.9986910150579,243047.70934256053,0.48344357102307245,1293.2307692307693,1292,1294,0.9730085108210398,0.9467455621301775,0.0007523858339682082,131.0,131,131,0.0,0.0,0.0,0.0011885017156600952,6.103515625e-05,0.014811992645263672,0.0035374184762878135,1.2513329476382395e-05,0.0015846689542134602,7.987022399902344e-05,0.015229940414428711,0.004145372081480487,1.7184109693917863e-05,0.006140311559041341,0.0008521080017089844,0.015308856964111328,0.0065085680597172955,4.236145818797216e-05,17,0,1.0,0.0,0,0.0,1.0,0,0,17,0,0,0.0,0.0,0.0,1.0,0.0,0.7871265862012691,0.7871265862012691,0.019016027450561523
normal_traffic_recording_25.pcap,172.19.0.55:55775->172.19.0.8:443,17,172.19.0.8,443,172.19.0.55,55775,17,15,2,19644,19382,262,1155.5294117647059,131,1294,374.1149740932999,139962.01384083045,0.32376066786734364,1292.1333333333334,1282,1294,2.8720878971384023,8.24888888888889,0.0022227488627115898,131.0,131,131,0.0,0.0,0.0,0.00017905235290527344,7.390975952148438e-05,0.0004889965057373047,0.00012375242033561707,1.5314661538923247e-08,0.00020463126046316965,8.893013000488281e-05,0.0004889965057373047,0.0001292540801035911,1.670661722342555e-08,0.00015997886657714844,0.00015997886657714844,0.00015997886657714844,0.0,0.0,17,0,1.0,0.0,0,0.0,1.0,0,0,17,0,0,0.0,0.0,0.0,1.0,0.0,0.5225593745369408,0.8343470230852538,0.002864837646484375
normal_traffic_recording_25.pcap,172.19.0.58:53815->172.19.0.8:443,17,172.19.0.8,443,172.19.0.58,53815,17,13,4,17320,16796,524,1018.8235294117648,131,1294,492.4763637557964,242532.9688581315,0.48337749329379553,1292.0,1290,1294,0.7844645405527362,0.6153846153846154,0.0006071706970222417,131.0,131,131,0.0,0.0,0.0,0.00157088041305542,1.71661376953125e-05,0.022934913635253906,0.005520550810681528,3.047648125331648e-05,0.0020768443743387857,5.507469177246094e-05,0.023904085159301758,0.006581339769630175,4.331403316331577e-05,0.008014996846516928,0.00015020370483398438,0.02354884147644043,0.010984377555986063,0.00012065655029245035,17,0,1.0,0.0,0,0.0,1.0,0,0,17,0,0,0.0,0.0,0.0,1.0,0.0,0.7871265862012691,0.7871265862012691,0.02513408660888672
normal_traffic_recording_25.pcap,172.19.0.56:38364->172.19.0.8:443,17,172.19.0.56,38364,172.19.0.8,443,17,10,7,14878,7694,7184,875.1764705882352,131,1399,568.280402545218,322942.615916955,0.6493323594077636,769.4,131,1399,629.6076873736533,396405.83999999997,0.8183099653933629,1026.2857142857142,357,1294,423.2934525111102,179177.34693877553,0.4124518607430083,0.14275449514389038,0.0,1.0689630508422852,0.2956989868097025,0.08743789080028463,0.2507581180996365,0.0,1.1189138889312744,0.37494528512908415,0.1405839668405302,0.02671980857849121,5.2928924560546875e-05,0.11063385009765625,0.04162382486496982,0.00173254279638968,1,16,0.058823529411764705,0.9411764705882353,0,0.0,1.0,5,11,1,0,0,0.29411764705882354,0.6470588235294118,0.0,0.058823529411764705,0.0,0.9774178175281716,2.1333874913165967,2.284071922302246
