file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_scan.pcap,172.16.0.31:35974->172.19.0.8:443,17,172.16.0.31,35974,172.19.0.8,443,17,8,9,13885,3172,10713,816.7647058823529,86,1294,572.3947146354171,327635.70934256056,0.7008073567736472,396.5,86,1294,518.3268756296552,268662.75,1.3072556762412488,1190.3333333333333,373,1294,288.9721247610034,83504.88888888889,0.24276571668524508,0.001315876841545105,0.0,0.013581991195678711,0.003253429907617889,1.0584806163782545e-05,0.002971444811139788,0.0,0.014024972915649414,0.00461641020212633,2.1311243154296065e-05,0.0009340047836303711,0.00013113021850585938,0.00605010986328125,0.0019396474706961388,3.7622323105779287e-06,10,7,0.5882352941176471,0.4117647058823529,0,0.0,1.0,2,5,10,0,0,0.11764705882352941,0.29411764705882354,0.0,0.5882352941176471,0.0,0.9975025463691152,1.7360411676599221,0.02105402946472168
traffic_record_scan.pcap,172.16.0.56:40162->172.19.0.8:443,17,172.16.0.56,40162,172.19.0.8,443,17,9,8,12678,3258,9420,745.7647058823529,86,1294,583.758968129803,340774.5328719723,0.7827656143087751,362.0,86,1294,498.3305462575351,248333.33333333334,1.3766037189434672,1177.5,372,1294,304.4515560807663,92690.75,0.2585575847819671,0.001901000738143921,0.0,0.013442039489746094,0.0036722354223199588,1.3485312996941445e-05,0.003802001476287842,0.0,0.014055013656616211,0.005272182437284036,2.7795907652006235e-05,0.0024178368704659598,9.703636169433594e-05,0.012250900268554688,0.004222286688417368,1.7827704879186504e-05,10,7,0.5882352941176471,0.4117647058823529,0,0.0,1.0,2,5,10,0,0,0.11764705882352941,0.29411764705882354,0.0,0.5882352941176471,0.0,0.9975025463691152,1.821031958133821,0.030416011810302734
traffic_record_scan.pcap,172.16.0.30:59670->172.19.0.8:443,17,172.16.0.30,59670,172.19.0.8,443,17,8,9,13877,3160,10717,816.2941176470588,86,1294,573.1062692448503,328450.79584775085,0.7020830566521911,395.0,86,1294,519.2051617617067,269574.0,1.3144434474979916,1190.7777777777778,377,1294,287.71505107881296,82779.95061728395,0.24161943264993158,0.0021096915006637573,0.0,0.02239990234375,0.005472989456344856,2.9953613589261963e-05,0.0048084259033203125,0.0,0.02299809455871582,0.00775460971269405,6.0133971796208895e-05,0.0014193952083587646,9.202957153320312e-05,0.009765148162841797,0.0031652947246631085,1.0019090693980104e-05,11,6,0.6470588235294118,0.35294117647058826,0,0.0,1.0,2,4,11,0,0,0.11764705882352941,0.23529411764705882,0.0,0.6470588235294118,0.0,0.9975025463691152,1.6627992560224791,0.03375506401062012
traffic_record_scan.pcap,172.16.0.43:45448->172.19.0.8:443,17,172.16.0.43,45448,172.19.0.8,443,17,9,8,12679,3258,9421,745.8235294117648,86,1294,583.7213512601325,340730.615916955,0.782653440446585,362.0,86,1294,498.3305462575351,248333.33333333334,1.3766037189434672,1177.625,373,1294,304.1208384425507,92489.484375,0.25824930554510195,0.0027814358472824097,0.0,0.021092891693115234,0.00549392432431843,3.018320448133771e-05,0.005562871694564819,0.0,0.021249055862426758,0.007125861996547027,5.077790919383318e-05,0.004899569920131138,0.000102996826171875,0.02312493324279785,0.008250804335470728,6.807577218222257e-05,10,7,0.5882352941176471,0.4117647058823529,0,0.0,1.0,2,5,10,0,0,0.11764705882352941,0.29411764705882354,0.0,0.5882352941176471,0.0,0.9975025463691152,1.821031958133821,0.044502973556518555
traffic_record_scan.pcap,172.16.0.33:58329->172.19.0.8:443,17,172.16.0.33,58329,172.19.0.8,443,17,8,9,13878,3160,10718,816.3529411764706,86,1294,573.0612267028481,328399.16955017304,0.7019772916809639,395.0,86,1294,519.2051617617067,269574.0,1.3144434474979916,1190.888888888889,378,1294,287.4007826651542,82599.20987654322,0.24133299533368052,0.004221692681312561,2.288818359375e-05,0.035562992095947266,0.009402942025341754,8.841531873193809e-05,0.009636027472359794,4.38690185546875e-05,0.03568696975708008,0.012674900949880585,0.00016065311408928378,0.006220132112503052,0.00010085105895996094,0.037802934646606445,0.012466141766867627,0.00015540469055164152,11,6,0.6470588235294118,0.35294117647058826,0,0.0,1.0,2,4,11,0,0,0.11764705882352941,0.23529411764705882,0.0,0.6470588235294118,0.0,0.9975025463691152,1.6627992560224791,0.06754708290100098
traffic_record_scan.pcap,172.16.0.54:41512->172.19.0.8:443,17,172.16.0.54,41512,172.19.0.8,443,17,9,8,12686,3258,9428,746.2352941176471,86,1294,583.4606221313095,340426.2975778547,0.7818721879420039,362.0,86,1294,498.3305462575351,248333.33333333334,1.3766037189434672,1178.5,380,1294,301.80581505332196,91086.75,0.25609318205627657,0.00567200779914856,2.3126602172851562e-05,0.03244304656982422,0.010174618334506716,0.00010352285825288021,0.01134401559829712,2.3126602172851562e-05,0.032536983489990234,0.012327776911323793,0.000151974083575368,0.010412863322666712,0.0001220703125,0.03720712661743164,0.01613919846614547,0.0002604737271296323,10,7,0.5882352941176471,0.4117647058823529,0,0.0,1.0,2,5,10,0,0,0.11764705882352941,0.29411764705882354,0.0,0.5882352941176471,0.0,0.9975025463691152,1.821031958133821,0.09075212478637695
traffic_record_scan.pcap,172.16.0.36:38412->172.19.0.8:443,17,172.16.0.36,38412,172.19.0.8,443,17,9,8,12676,3258,9418,745.6470588235294,86,1294,583.83447907942,340862.6989619377,0.7829903869004529,362.0,86,1294,498.3305462575351,248333.33333333334,1.3766037189434672,1177.25,370,1294,305.112991365494,93093.9375,0.25917433966064474,0.006129741668701172,4.696846008300781e-05,0.0457000732421875,0.01271895730509061,0.0001617718749287178,0.012259483337402344,4.696846008300781e-05,0.047625064849853516,0.016557051307218382,0.00027413594798986196,0.011168854577200753,0.00010085105895996094,0.04870104789733887,0.018143726659367546,0.0003291948170898446,10,7,0.5882352941176471,0.4117647058823529,0,0.0,1.0,2,5,10,0,0,0.11764705882352941,0.29411764705882354,0.0,0.5882352941176471,0.0,0.9975025463691152,1.821031958133821,0.09807586669921875
traffic_record_scan.pcap,172.16.0.53:37943->172.19.0.8:443,17,172.16.0.53,37943,172.19.0.8,443,17,9,8,12677,3258,9419,745.7058823529412,86,1294,583.7966774088674,340818.5605536332,0.78287792979023,362.0,86,1294,498.3305462575351,248333.33333333334,1.3766037189434672,1177.375,371,1294,304.7822737217504,92892.234375,0.25886592948019993,0.006164819002151489,3.0994415283203125e-05,0.029203176498413086,0.010434396605262257,0.00010887663251590851,0.012329638004302979,3.0994415283203125e-05,0.02975010871887207,0.012488188846666014,0.00015595486066999342,0.009913989475795202,9.608268737792969e-05,0.0441889762878418,0.016338500824893586,0.0002669466092050484,10,7,0.5882352941176471,0.4117647058823529,0,0.0,1.0,2,5,10,0,0,0.11764705882352941,0.29411764705882354,0.0,0.5882352941176471,0.0,0.9975025463691152,1.821031958133821,0.09863710403442383
traffic_record_scan.pcap,172.16.0.34:34155->172.19.0.8:443,17,172.16.0.34,34155,172.19.0.8,443,17,9,8,12677,3258,9419,745.7058823529412,86,1294,583.7966774088674,340818.5605536332,0.78287792979023,362.0,86,1294,498.3305462575351,248333.33333333334,1.3766037189434672,1177.375,371,1294,304.7822737217504,92892.234375,0.25886592948019993,0.006390631198883057,9.5367431640625e-07,0.03909015655517578,0.012001612169817839,0.00014403869467471964,0.012781262397766113,9.5367431640625e-07,0.039550065994262695,0.0146942790949223,0.00021592183811947052,0.009016139166695731,9.989738464355469e-05,0.03343605995178223,0.014136756177298171,0.00019984787521637798,10,7,0.5882352941176471,0.4117647058823529,0,0.0,1.0,2,5,10,0,0,0.11764705882352941,0.29411764705882354,0.0,0.5882352941176471,0.0,0.9975025463691152,1.821031958133821,0.1022500991821289
traffic_record_scan.pcap,172.16.0.49:57747->172.19.0.8:443,17,172.16.0.49,57747,172.19.0.8,443,17,9,8,12677,3258,9419,745.7058823529412,86,1294,583.7966774088674,340818.5605536332,0.78287792979023,362.0,86,1294,498.3305462575351,248333.33333333334,1.3766037189434672,1177.375,371,1294,304.7822737217504,92892.234375,0.25886592948019993,0.006362885236740112,2.4080276489257812e-05,0.045893192291259766,0.012512887205021297,0.0001565723462055857,0.012725770473480225,2.8848648071289062e-05,0.04650521278381348,0.015659171969906238,0.0002452096667830972,0.007976566042218889,0.00010704994201660156,0.03608584403991699,0.013208321942287944,0.00017445976853112515,10,7,0.5882352941176471,0.4117647058823529,0,0.0,1.0,2,5,10,0,0,0.11764705882352941,0.29411764705882354,0.0,0.5882352941176471,0.0,0.9975025463691152,1.821031958133821,0.1018061637878418
