file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
QUIC_CONNECT2.pcap,172.16.0.49:44959->172.19.0.8:443,20,21,172.16.0.49,44959,172.19.0.8,443,20,12,8,6924,3539,3385,346.2,66,1294,477.41529091557175,227925.36000000002,1.3790158605302478,294.9166666666667,87,1294,446.9564591645241,199770.0763888889,1.5155347583990644,423.125,66,1294,510.19198286037386,260295.859375,1.2057713036581952,0.05428783517134817,0.0,0.3223838806152344,0.08932135478127115,0.007978304419961712,0.09376989711414684,0.0,0.32687902450561523,0.10629088368212725,0.011297751953927503,0.14543557167053223,0.00013399124145507812,0.5143499374389648,0.22059818973031856,0.04866356131229362,4,16,0.2,0.8,0,0.0,1.0,2,14,4,0,0,0.1,0.7,0.0,0.2,0.0,0.9709505944546686,2.1609640474436813,1.0314688682556152
QUIC_CONNECT2.pcap,172.16.0.39:55885->172.19.0.8:443,20,30,172.16.0.39,55885,172.19.0.8,443,20,15,5,8266,5136,3130,413.3,83,1394,523.4293744145432,273978.31000000006,1.266463523867755,342.4,83,1394,493.11943110501466,243166.77333333332,1.4401852543954867,626.0,92,1294,553.25509487035,306091.2,0.88379408126254,0.05431436237535978,0.0,0.29955220222473145,0.08172877968477188,0.00667959342876198,0.07371234893798828,0.0,0.30123114585876465,0.08826484815835875,0.007790683420418125,0.24598002433776855,0.000102996826171875,0.5163781642913818,0.24452603149954005,0.05979298008091405,6,14,0.3,0.7,0,0.0,1.0,2,12,6,0,0,0.1,0.6,0.0,0.3,0.0,0.8112781244591328,2.539353872167201,1.031972885131836
QUIC_CONNECT2.pcap,172.16.0.28:36467->172.19.0.8:443,20,29,172.16.0.28,36467,172.19.0.8,443,20,13,7,8102,4900,3202,405.1,63,1394,528.777732133266,279605.89,1.3053017332344259,376.9230769230769,83,1394,521.205918488514,271655.6094674556,1.3827912123164658,457.42857142857144,63,1294,538.6631221679032,290157.9591836735,1.1775895862508814,0.18826183519865336,0.0,1.3323581218719482,0.32251572220134267,0.10401639106705363,0.187040905157725,0.0,0.5079348087310791,0.1949593549089991,0.03800915006653307,0.5864874919255575,0.00010204315185546875,1.8405320644378662,0.7151544792131947,0.5114459291386958,11,9,0.55,0.45,0,0.0,1.0,2,7,11,0,0,0.1,0.35,0.0,0.55,0.0,0.934068055375491,2.5086949695628418,3.576974868774414
QUIC_CONNECT2.pcap,172.16.0.45:42424->172.19.0.8:443,20,28,172.16.0.45,42424,172.19.0.8,443,20,12,8,8149,4817,3332,407.45,63,1394,527.3076402822171,278053.34750000003,1.2941652725051347,401.4166666666667,83,1394,535.2517255667861,286494.4097222222,1.3334068313891287,416.5,63,1294,515.0293680946747,265255.25,1.2365651094710077,0.171498788030524,0.0,1.4135630130767822,0.3385355267527089,0.11460630287373409,0.29622517932545056,0.0,1.6219711303710938,0.464479269600689,0.21574099188878956,0.24895572662353516,9.799003601074219e-05,0.8371450901031494,0.2818347893580108,0.07943084849247432,10,10,0.5,0.5,0,0.0,1.0,2,8,10,0,0,0.1,0.4,0.0,0.5,0.0,0.9709505944546686,2.7037016960573483,3.258476972579956
QUIC_CONNECT2.pcap,172.16.0.50:38358->172.19.0.8:443,20,26,172.16.0.50,38358,172.19.0.8,443,20,12,8,10546,7245,3301,527.3,63,1394,576.6314334130598,332503.80999999994,1.0935547760535935,603.75,86,1394,600.9377567602155,361126.1875,0.9953420401825516,412.625,63,1294,517.3518960775151,267652.984375,1.253806473377801,0.17788721385755038,0.0,1.0877909660339355,0.2709315671042441,0.07340391405356152,0.28405755216425116,0.0,2.1081349849700928,0.5851152867472688,0.34235989878533857,0.4367647171020508,7.319450378417969e-05,1.3437399864196777,0.4523178304620124,0.20459141975386178,9,11,0.45,0.55,0,0.0,1.0,4,7,9,0,0,0.2,0.35,0.0,0.45,0.0,0.9709505944546686,2.6709505944546685,3.379857063293457
QUIC_CONNECT2.pcap,172.16.0.44:39682->172.19.0.8:443,20,22,172.16.0.44,39682,172.19.0.8,443,20,12,8,9280,5945,3335,464.0,63,1294,546.7513145846108,298937.0,1.178343350397868,495.4166666666667,87,1294,564.8015076604838,319000.74305555556,1.1400535057907157,416.875,63,1294,514.9175753215266,265140.109375,1.235184588477425,0.08755263529325787,9.5367431640625e-07,0.40088701248168945,0.12363093152378822,0.015284607229439614,0.13083780895579944,9.5367431640625e-07,0.40088701248168945,0.135038070553297,0.018235280498757216,0.1902900082724435,7.700920104980469e-05,0.9739129543304443,0.32909931424551087,0.10830635863686551,6,14,0.3,0.7,0,0.0,1.0,4,10,6,0,0,0.2,0.5,0.0,0.3,0.0,0.9709505944546686,2.433206219346495,1.6635000705718994
QUIC_CONNECT2.pcap,172.16.0.54:35918->172.19.0.8:443,20,26,172.16.0.54,35918,172.19.0.8,443,20,14,6,9353,6137,3216,467.65,90,1294,543.9654653560278,295898.42749999993,1.163189276929387,438.35714285714283,91,1294,541.2570827174798,292959.2295918367,1.2347399638332601,536.0,90,1294,544.134787223411,296082.6666666667,1.015176841834722,0.17883620764079847,0.0,0.5900568962097168,0.213026282537412,0.04538019705170928,0.26137599578270543,0.0,1.1026368141174316,0.34161513578342645,0.1167009009963289,0.3940110206604004,9.489059448242188e-05,1.002810001373291,0.4825678039997058,0.23287168545709847,0,20,0.0,1.0,0,0.0,1.0,4,16,0,0,0,0.2,0.8,0.0,0.0,0.0,0.8812908992306927,1.3954618442383218,3.397887945175171
QUIC_CONNECT2.pcap,172.16.0.43:56747->172.19.0.8:443,20,25,172.16.0.43,56747,172.19.0.8,443,20,12,8,9283,5945,3338,464.15,63,1294,546.7239957236192,298907.1275,1.1779036857128498,495.4166666666667,87,1294,564.8015076604838,319000.74305555556,1.1400535057907157,417.25,63,1294,514.8792941068809,265100.6875,1.233982730034466,0.08148141911155299,0.0,0.4001140594482422,0.11771049506122849,0.013855760647559497,0.131119272925637,0.0,0.4001140594482422,0.13321801930582433,0.017747040667766986,0.1711869921003069,9.894371032714844e-05,0.9603989124298096,0.3247021421612544,0.1054314811241075,6,14,0.3,0.7,0,0.0,1.0,4,10,6,0,0,0.2,0.5,0.0,0.3,0.0,0.9709505944546686,2.433206219346495,1.5481469631195068
QUIC_CONNECT2.pcap,172.16.0.55:46090->172.19.0.8:443,20,31,172.16.0.55,46090,172.19.0.8,443,20,12,8,9277,5945,3332,463.85,63,1294,546.7794139321634,298967.72750000004,1.1787849820678309,495.4166666666667,87,1294,564.8015076604838,319000.74305555556,1.1400535057907157,416.5,63,1294,514.9577652584725,265181.5,1.2363931938978932,0.08757021552638004,2.5033950805664062e-05,0.4005551338195801,0.12280612067685318,0.015081343275697826,0.13083418932828036,2.5033950805664062e-05,0.4005551338195801,0.13654450056578554,0.01864440063475981,0.1863602910723005,0.00012683868408203125,0.9471890926361084,0.3182542007653569,0.10128573630479609,6,14,0.3,0.7,0,0.0,1.0,4,10,6,0,0,0.2,0.5,0.0,0.3,0.0,0.9709505944546686,2.433206219346495,1.6638340950012207
QUIC_CONNECT2.pcap,172.16.0.47:50583->172.19.0.8:443,20,34,172.16.0.47,50583,172.19.0.8,443,20,15,5,9425,6296,3129,471.25,88,1294,541.5815612629367,293310.5875,1.1492446923351443,419.73333333333335,88,1294,527.4075548272787,278158.7288888889,1.256530070268294,625.8,92,1294,554.0023104644961,306918.55999999994,0.8852705504386323,0.23950989622818797,0.0,1.5183920860290527,0.4093093367547047,0.16753413315457624,0.32504914488111225,0.0,1.5183920860290527,0.4534207417168998,0.20559036901910352,0.6028887629508972,0.00010204315185546875,2.411241054534912,1.0440526823406484,1.090046003502703,1,19,0.05,0.95,0,0.0,1.0,4,15,1,0,0,0.2,0.75,0.0,0.05,0.0,0.8112781244591328,2.0199730940219753,4.550688028335571
