file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_16.pcap,172.19.0.22:57964->172.19.0.8:443,20,46273,172.19.0.22,57964,172.19.0.8,443,20,1,19,24679,131,24548,1233.95,131,1292,253.0340836725361,64026.2475,0.205060240425087,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,7.394740456028988e-05,4.38690185546875e-05,0.0004928112030029297,9.908779840334449e-05,9.81839179242184e-09,0.0,0.0,0.0,0.0,0.0,5.067719353569878e-05,4.38690185546875e-05,7.510185241699219e-05,8.677920353455609e-06,7.53063016609191e-11,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.28639695711595625,0.28639695711595625,0.0014050006866455078
normal_traffic_recording_16.pcap,172.19.0.24:51394->172.19.0.8:443,20,16029,172.19.0.24,51394,172.19.0.8,443,20,3,17,19915,393,19522,995.75,71,1292,513.3304856522745,263508.1875,0.5155214518225203,131.0,131,131,0.0,0.0,0.0,1148.3529411764705,71,1292,393.39367218459284,154758.58131487892,0.3425720944133838,0.8489594710500616,2.5987625122070312e-05,15.000702857971191,3.344193502235974,11.183630180397309,8.064625978469849,1.1030070781707764,15.026244878768921,6.961618900299072,48.464137713001264,1.0065429955720901,2.5987625122070312e-05,15.026452779769897,3.6292710477207084,13.171608337823768,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.6098403047164004,1.0540157730728001,16.130229949951172
normal_traffic_recording_16.pcap,172.19.0.38:48286->172.19.0.8:443,20,12079,172.19.0.38,48286,172.19.0.8,443,20,1,19,24679,131,24548,1233.95,131,1292,253.0340836725361,64026.2475,0.205060240425087,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,3.483420924136513e-05,2.09808349609375e-05,0.0001628398895263672,3.086197843739037e-05,9.52461713069948e-10,0.0,0.0,0.0,0.0,0.0,2.7722782558865016e-05,2.09808349609375e-05,5.0067901611328125e-05,6.6708959618650985e-06,4.450085293402808e-11,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.28639695711595625,0.28639695711595625,0.0006618499755859375
normal_traffic_recording_16.pcap,172.19.0.37:50204->172.19.0.8:443,20,13041,172.19.0.37,50204,172.19.0.8,443,20,1,19,24679,131,24548,1233.95,131,1292,253.0340836725361,64026.2475,0.205060240425087,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,0.00017637955515008224,3.314018249511719e-05,0.002682209014892578,0.0005906407856507116,3.4885653767408984e-07,0.0,0.0,0.0,0.0,0.0,3.716680738661024e-05,3.314018249511719e-05,4.38690185546875e-05,3.7232749691642386e-06,1.3862776496004961e-11,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.28639695711595625,0.28639695711595625,0.0033512115478515625
normal_traffic_recording_16.pcap,172.19.0.21:52033->172.19.0.8:443,20,12344,172.19.0.21,52033,172.19.0.8,443,20,2,18,22297,262,22035,1114.85,71,1292,421.84360549853074,177952.02750000003,0.37838597613897007,131.0,131,131,0.0,0.0,0.0,1224.1666666666667,71,1292,279.68399827106464,78223.13888888888,0.22846888898929718,0.6463126759780081,2.5033950805664062e-05,12.25393009185791,2.7359474719146375,7.485408569076097,12.279258012771606,12.279258012771606,12.279258012771606,0.0,0.0,0.7208595836863798,2.5033950805664062e-05,12.254074096679688,2.883303628261702,8.313439812747095,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.4689955935892812,0.7475846798245739,12.279940843582153
normal_traffic_recording_16.pcap,172.19.0.40:39839->172.19.0.8:443,20,36770,172.19.0.40,39839,172.19.0.8,443,20,3,17,19915,393,19522,995.75,71,1292,513.3304856522745,263508.1875,0.5155214518225203,131.0,131,131,0.0,0.0,0.0,1148.3529411764705,71,1292,393.39367218459284,154758.58131487892,0.3425720944133838,1.2106459391744513,2.47955322265625e-05,15.000645875930786,3.7016659582534546,13.702330866492467,11.499814987182617,7.973343133926392,15.026286840438843,3.5264718532562256,12.436003731808398,1.4360394924879074,2.47955322265625e-05,15.025956869125366,3.9999266901770105,15.999413526790415,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.6098403047164004,1.0540157730728001,23.002272844314575
normal_traffic_recording_16.pcap,172.19.0.22:51533->172.19.0.8:443,20,75,172.19.0.8,443,172.19.0.22,51533,20,17,3,21504,21089,415,1075.2,131,1294,437.5528082414739,191452.46000000002,0.40695015647458505,1240.5294117647059,411,1294,207.38373571915045,43008.01384083044,0.167173574243708,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0011544729533948396,9.5367431640625e-07,0.016062021255493164,0.0035770128797995523,1.2795021142251887e-05,0.001370936632156372,4.1961669921875e-05,0.019816875457763672,0.00476627267216659,2.2717355185442045e-05,0.0015039443969726562,9.5367431640625e-07,0.0030069351196289062,0.00150299072265625,2.2589811123907566e-06,18,2,0.9,0.1,0,0.0,1.0,18,0,2,0,0,0.0,0.1,0.0,0.9,0.0,0.6098403047164004,1.0219280948873624,0.021934986114501953
normal_traffic_recording_16.pcap,172.19.0.18:52823->172.19.0.8:443,20,2538,172.19.0.18,52823,172.19.0.8,443,20,15,5,8852,4572,4280,442.6,68,1399,444.6690229822626,197730.53999999998,1.0046747017222382,304.8,131,1399,299.1240991071543,89475.22666666665,0.9813782779106112,856.0,68,1294,542.7986735429629,294630.4,0.6341105999333678,0.009586158551667867,2.47955322265625e-05,0.11642193794250488,0.025945410082550222,0.0006731643043516987,0.01299856390271868,2.5033950805664062e-05,0.11642193794250488,0.030193092530678377,0.0009116228365661064,0.0413365364074707,2.47955322265625e-05,0.13834309577941895,0.05707289054505068,0.0032573148351673353,15,5,0.75,0.25,0,0.0,1.0,15,1,4,0,0,0.05,0.2,0.0,0.75,0.0,0.8112781244591328,3.246439344671015,0.18213701248168945
normal_traffic_recording_16.pcap,172.19.0.36:49302->172.19.0.8:443,20,68913,172.19.0.36,49302,172.19.0.8,443,20,6,14,18235,2322,15913,911.75,68,1399,534.4780514670364,285666.7875,0.5862111888862478,387.0,131,1399,462.0205623129776,213463.0,1.1938515822040765,1136.642857142857,68,1294,384.7362003731271,148021.943877551,0.3384846858055539,0.006576362409089741,0.0,0.04464888572692871,0.012724520992033379,0.0001619134344766981,0.024840593338012695,0.0,0.04464888572692871,0.016501785999709223,0.00027230894118019934,0.0070363008058988135,1.811981201171875e-05,0.05281686782836914,0.01666108056021017,0.0002775916054338133,15,5,0.75,0.25,0,0.0,1.0,15,1,4,0,0,0.05,0.2,0.0,0.75,0.0,0.8812908992306927,1.9332062193464952,0.12495088577270508
normal_traffic_recording_16.pcap,172.19.0.34:58111->172.19.0.8:443,20,41,172.19.0.34,58111,172.19.0.8,443,20,5,15,20641,2218,18423,1032.05,131,1399,467.1703623947051,218248.14750000005,0.4526625283607433,443.6,131,1399,488.67191447841566,238800.24,1.1016048568043635,1228.2,331,1294,239.78773946972348,57498.15999999998,0.19523509157280855,0.0017211688192267168,9.5367431640625e-07,0.015740156173706055,0.004221398854510182,1.7820208288859876e-05,0.007363259792327881,9.5367431640625e-07,0.01739811897277832,0.007455909008829579,5.559057914794607e-05,0.0012115750994001115,1.621246337890625e-05,0.016471147537231445,0.004232266857289777,1.7912082751313482e-05,14,6,0.7,0.3,0,0.0,1.0,14,1,5,0,0,0.05,0.25,0.0,0.7,0.0,0.8112781244591328,1.5567796494470396,0.03270220756530762
