file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
recording_9.pcap,172.16.0.41:45807->172.19.0.8:443,20,2794,172.16.0.41,45807,172.19.0.8,443,20,9,11,13049,3341,9708,652.45,88,1294,582.4156140592386,339207.94749999995,0.8926593824189417,371.22222222222223,88,1294,494.0199676076482,244055.72839506177,1.3307930884372445,882.5454545454545,96,1294,547.1806023336791,299406.61157024786,0.6200027426525,0.009747894186722604,0.0,0.07231998443603516,0.01856104787630018,0.0003445124982663074,0.023121118545532227,0.0,0.07231998443603516,0.02326944867364358,0.000541467241575333,0.017371606826782227,4.00543212890625e-05,0.16823506355285645,0.05029441417179398,0.0025295280968839506,7,13,0.35,0.65,0,0.0,1.0,2,11,7,0,0,0.1,0.55,0.0,0.35,0.0,0.9927744539878083,1.6954618442383218,0.1852099895477295
recording_9.pcap,172.16.0.39:56966->172.19.0.8:443,20,2810,172.16.0.39,56966,172.19.0.8,443,20,9,11,15430,3323,12107,771.5,86,1294,579.4751504594481,335791.45,0.7511019448599456,369.22222222222223,86,1294,495.1511055061381,245174.61728395068,1.3410652872570696,1100.6363636363637,96,1294,411.33624218178414,169197.50413223138,0.37372583331953624,0.009815316451223273,0.0,0.06931304931640625,0.020274250137253504,0.0004110452186279238,0.023282498121261597,0.0,0.06931304931640625,0.026794407766358653,0.0007179402875499008,0.01666591167449951,2.6226043701171875e-05,0.1573500633239746,0.046938142346467884,0.0022031892069372815,11,9,0.55,0.45,0,0.0,1.0,2,7,11,0,0,0.1,0.35,0.0,0.55,0.0,0.9927744539878083,1.7814963295286752,0.1864910125732422
recording_9.pcap,172.16.0.27:39531->172.19.0.8:443,20,2740,172.16.0.27,39531,172.19.0.8,443,20,8,12,16628,3237,13391,831.4,86,1294,567.9534664037187,322571.14,0.6831290190085624,404.625,86,1294,514.3357214650757,264541.234375,1.2711417274391739,1115.9166666666667,96,1294,398.60181851344106,158883.40972222222,0.3571967606721897,0.009735094873528732,0.0,0.09833288192749023,0.02276674644215395,0.0005183247435613296,0.02642382894243513,0.0,0.09833288192749023,0.03181886092750326,0.0010124399107237934,0.014015262777155096,2.5987625122070312e-05,0.14659786224365234,0.04195068092877082,0.0017598596303875357,11,9,0.55,0.45,0,0.0,1.0,2,7,11,0,0,0.1,0.35,0.0,0.55,0.0,0.9709505944546686,1.6709505944546688,0.1849668025970459
recording_9.pcap,172.16.0.25:55010->172.19.0.8:443,20,2829,172.16.0.25,55010,172.19.0.8,443,20,6,14,20235,3056,17179,1011.75,88,1294,489.45560319604067,239566.7875,0.4837712905322863,509.3333333333333,88,1294,555.7513432782287,308859.55555555556,1.0911348362792448,1227.0714285714287,379,1294,235.21372174675346,55325.49489795916,0.19168706586265488,0.010659255479511461,0.0,0.11004400253295898,0.025578450613327978,0.0006542571357784585,0.038849163055419925,0.0,0.1154630184173584,0.04113789643827597,0.0016923265233663187,0.01235661139855018,2.5987625122070312e-05,0.1356968879699707,0.036199325826456234,0.0013103911902899415,13,7,0.65,0.35,0,0.0,1.0,2,5,13,0,0,0.1,0.25,0.0,0.65,0.0,0.8812908992306927,1.2917601481809733,0.20252585411071777
recording_9.pcap,172.16.0.44:37618->172.19.0.8:443,20,2749,172.16.0.44,37618,172.19.0.8,443,20,7,13,19027,3142,15885,951.35,86,1294,524.3748921334812,274969.0275000001,0.5511903002401652,448.85714285714283,86,1294,535.4259795637831,286680.97959183675,1.1928650085762196,1221.923076923077,377,1294,243.90933420763022,59491.76331360945,0.1996110383820707,0.01001814792030736,0.0,0.09954309463500977,0.024440206288946477,0.0005973236834462589,0.03169830640157064,0.0,0.10392594337463379,0.037725720586361054,0.0014232299937601862,0.011452317237854004,2.6941299438476562e-05,0.12488508224487305,0.03436538214557211,0.0011809794900112063,13,7,0.65,0.35,0,0.0,1.0,2,5,13,0,0,0.1,0.25,0.0,0.65,0.0,0.934068055375491,1.4567796494470395,0.19034481048583984
recording_9.pcap,172.16.0.24:40701->172.19.0.8:443,20,2634,172.16.0.24,40701,172.19.0.8,443,20,6,14,20233,3056,17177,1011.65,88,1294,489.5850564508684,239693.5275,0.4839470730498378,509.3333333333333,88,1294,555.7513432782287,308859.55555555556,1.0911348362792448,1226.9285714285713,377,1294,235.72879825454206,55568.06632653059,0.19212919459530703,0.010802570142244039,8.106231689453125e-06,0.08853793144226074,0.023717349700679603,0.0005625126768243269,0.041040802001953126,8.106231689453125e-06,0.09358406066894531,0.03417149970712131,0.0011676913922337917,0.010891602589533879,2.5987625122070312e-05,0.11431193351745605,0.03069997375884959,0.0009424883887940533,13,7,0.65,0.35,0,0.0,1.0,2,5,13,0,0,0.1,0.25,0.0,0.65,0.0,0.8812908992306927,1.2917601481809733,0.20524883270263672
recording_9.pcap,172.16.0.40:40538->172.19.0.8:443,20,2726,172.16.0.40,40538,172.19.0.8,443,20,7,13,19029,3142,15887,951.45,86,1294,524.2655314819009,274854.34750000003,0.5510174275914665,448.85714285714283,86,1294,535.4259795637831,286680.97959183675,1.1928650085762196,1222.076923076923,379,1294,243.37639779961643,59232.07100591714,0.19914981880751642,0.01059295001782869,0.0,0.08070993423461914,0.023191079062821078,0.0005378261480980182,0.0335383415222168,0.0,0.0855109691619873,0.033894678040746196,0.0011488491994858425,0.010798672835032145,2.9087066650390625e-05,0.10652303695678711,0.02953001775336792,0.0008720219485142245,13,7,0.65,0.35,0,0.0,1.0,2,5,13,0,0,0.1,0.25,0.0,0.65,0.0,0.934068055375491,1.4567796494470395,0.20126605033874512
recording_9.pcap,172.16.0.37:43006->172.19.0.8:443,20,2754,172.16.0.37,43006,172.19.0.8,443,20,7,13,19031,3142,15889,951.55,86,1294,524.156510500442,274740.0475,0.5508449482428059,448.85714285714283,86,1294,535.4259795637831,286680.97959183675,1.1928650085762196,1222.2307692307693,381,1294,242.84346140170652,58972.94674556212,0.19868871535163854,0.010879842858565482,9.5367431640625e-07,0.07964491844177246,0.02317055480659604,0.0005368746100454709,0.03441699345906576,9.5367431640625e-07,0.08329892158508301,0.033182109890628024,0.0011010524167937143,0.010589341322580973,2.47955322265625e-05,0.09876108169555664,0.027643728981378072,0.000764175751995882,13,7,0.65,0.35,0,0.0,1.0,2,5,13,0,0,0.1,0.25,0.0,0.65,0.0,0.934068055375491,1.4567796494470395,0.20671701431274414
recording_9.pcap,172.16.0.32:60933->172.19.0.8:443,20,2745,172.16.0.32,60933,172.19.0.8,443,20,6,14,20229,3056,17173,1011.45,88,1294,489.8450239616608,239948.14750000005,0.4842997913506953,509.3333333333333,88,1294,555.7513432782287,308859.55555555556,1.0911348362792448,1226.642857142857,373,1294,236.75895129943487,56054.80102040817,0.19301376103139162,0.009920258271066766,0.0,0.08773088455200195,0.023612702883625134,0.0005575597374703587,0.037678194046020505,0.0,0.09219002723693848,0.03629633456263875,0.001317423902683004,0.007750309430635893,2.2172927856445312e-05,0.09085798263549805,0.024124415312052477,0.0005819874141483921,13,7,0.65,0.35,0,0.0,1.0,2,5,13,0,0,0.1,0.25,0.0,0.65,0.0,0.8812908992306927,1.2917601481809733,0.18848490715026855
recording_9.pcap,172.16.0.26:51646->172.19.0.8:443,20,2793,172.16.0.26,51646,172.19.0.8,443,20,7,13,19029,3142,15887,951.45,86,1294,524.2655314819009,274854.34750000003,0.5510174275914665,448.85714285714283,86,1294,535.4259795637831,286680.97959183675,1.1928650085762196,1222.076923076923,379,1294,243.37639779961643,59232.07100591714,0.19914981880751642,0.01031694914165296,0.0,0.0957491397857666,0.024111165603090342,0.0005813483067396468,0.03265202045440674,0.0,0.09934401512145996,0.036094988953364784,0.0013028482275435256,0.008356074492136637,2.8848648071289062e-05,0.08298015594482422,0.02297195884766337,0.0005277108932987395,13,7,0.65,0.35,0,0.0,1.0,2,5,13,0,0,0.1,0.25,0.0,0.65,0.0,0.934068055375491,1.4567796494470395,0.19602203369140625
