file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,zerortt_packets,onertt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
SCAN_HTTP3.pcap,172.16.0.43:43821->172.19.0.8:443,5,58,172.16.0.43,43821,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0022527575492858887,9.059906005859375e-06,0.008677005767822266,0.003710680968803575,1.376915325224104e-05,0.004505515098571777,9.059906005859375e-06,0.009001970291137695,0.004496455192565918,2.0218109298753006e-05,3.409385681152344e-05,3.409385681152344e-05,3.409385681152344e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.009011030197143555
SCAN_HTTP3.pcap,172.16.0.44:50145->172.19.0.8:443,5,57,172.16.0.44,50145,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.003083467483520508,0.0,0.009172916412353516,0.003737774244514445,1.3970956302955528e-05,0.006166934967041016,0.0,0.012333869934082031,0.006166934967041016,3.803108688771317e-05,3.504753112792969e-05,3.504753112792969e-05,3.504753112792969e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.012333869934082031
SCAN_HTTP3.pcap,172.16.0.40:37891->172.19.0.8:443,5,55,172.16.0.40,37891,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.004129528999328613,0.0,0.013231992721557617,0.00541872794322911,2.936261252273198e-05,0.008259057998657227,0.0,0.016518115997314453,0.008259057998657227,6.821203902518391e-05,3.409385681152344e-05,3.409385681152344e-05,3.409385681152344e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.016518115997314453
SCAN_HTTP3.pcap,172.16.0.34:59163->172.19.0.8:443,5,55,172.16.0.34,59163,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0028315186500549316,0.0,0.008234977722167969,0.003361820151127606,1.1301834728527638e-05,0.005663037300109863,0.0,0.011326074600219727,0.005663037300109863,3.206999146243561e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.011326074600219727
SCAN_HTTP3.pcap,172.16.0.25:60328->172.19.0.8:443,5,57,172.16.0.25,60328,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0029337406158447266,0.0,0.008610963821411133,0.0035103061735940783,1.23222494323727e-05,0.005867481231689453,0.0,0.011734962463378906,0.005867481231689453,3.442733600422798e-05,3.0994415283203125e-05,3.0994415283203125e-05,3.0994415283203125e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.011734962463378906
SCAN_HTTP3.pcap,172.16.0.35:59892->172.19.0.8:443,5,49,172.16.0.35,59892,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.003528296947479248,0.0,0.009435176849365234,0.003900648004515827,1.5215054855133303e-05,0.007056593894958496,0.0,0.014113187789916992,0.007056593894958496,4.979551739836552e-05,2.6941299438476562e-05,2.6941299438476562e-05,2.6941299438476562e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.014113187789916992
SCAN_HTTP3.pcap,172.16.0.43:55465->172.19.0.8:443,5,56,172.16.0.43,55465,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0031537413597106934,0.0,0.00904393196105957,0.0036890459877877294,1.3609060300012743e-05,0.006307482719421387,0.0,0.012614965438842773,0.006307482719421387,3.978433825579941e-05,4.601478576660156e-05,4.601478576660156e-05,4.601478576660156e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.012614965438842773
SCAN_HTTP3.pcap,172.16.0.44:43780->172.19.0.8:443,5,55,172.16.0.44,43780,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.004189252853393555,8.106231689453125e-06,0.013471841812133789,0.005519368445084088,3.0463428032589945e-05,0.00837850570678711,8.106231689453125e-06,0.016748905181884766,0.008370399475097656,7.006358737271512e-05,2.7179718017578125e-05,2.7179718017578125e-05,2.7179718017578125e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.01675701141357422
SCAN_HTTP3.pcap,172.16.0.40:59111->172.19.0.8:443,5,53,172.16.0.40,59111,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.005154728889465332,0.0,0.017392873764038086,0.0071843683680841005,5.161514884832741e-05,0.010309457778930664,0.0,0.020618915557861328,0.010309457778930664,0.00010628491969555398,2.7179718017578125e-05,2.7179718017578125e-05,2.7179718017578125e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.020618915557861328
SCAN_HTTP3.pcap,172.16.0.34:40561->172.19.0.8:443,5,51,172.16.0.34,40561,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.003927290439605713,0.0,0.012330055236816406,0.005041158661423416,2.541328064964432e-05,0.007854580879211426,0.0,0.01570916175842285,0.007854580879211426,6.169444078807373e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.01570916175842285
