file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,handshake_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_15.pcap,172.19.0.17:50719->172.19.0.8:443,5,76,172.19.0.8,443,172.19.0.17,50719,5,3,2,3268,2995,273,653.6,131,1292,530.8124339161621,281761.84,0.8121365267995136,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,136.5,131,142,5.5,30.25,0.040293040293040296,0.005255758762359619,6.794929504394531e-05,0.015468120574951172,0.006095071235806772,3.7149893369559095e-05,0.0006334781646728516,6.794929504394531e-05,0.0011990070343017578,0.0005655288696289062,3.1982290238374844e-07,0.015468120574951172,0.015468120574951172,0.015468120574951172,0.0,0.0,4,1,0.8,0.2,0,0.0,1.0,4,1,0,0,0,0.0,0.2,0.0,0.8,0.0,0.9709505944546686,1.9219280948873623,0.021023035049438477
normal_traffic_recording_15.pcap,172.19.0.40:45664->172.19.0.8:443,5,41187,172.19.0.40,45664,172.19.0.8,443,5,1,4,5299,131,5168,1059.8,131,1292,464.4,215667.35999999996,0.4381958860162295,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,5.8770179748535156e-05,2.6941299438476562e-05,0.00014209747314453125,4.829683119841272e-05,2.332583903807972e-09,0.0,0.0,0.0,0.0,0.0,3.0994415283203125e-05,2.6941299438476562e-05,3.790855407714844e-05,4.913197045667564e-06,2.413950520955647e-11,5,0,1.0,0.0,0,0.0,1.0,5,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.7219280948873623,0.7219280948873623,0.00023508071899414062
normal_traffic_recording_15.pcap,172.19.0.21:38617->172.19.0.8:443,5,69380,172.19.0.21,38617,172.19.0.8,443,5,2,3,4461,1541,2920,892.2,142,1399,539.6956179181002,291271.36,0.604904301634275,770.5,142,1399,628.5,395012.25,0.8157040882543802,973.3333333333334,332,1294,453.4911490009725,205654.22222222222,0.465915564042095,0.022873520851135254,2.6941299438476562e-05,0.052130937576293945,0.023282217419059212,0.0005420616479483442,0.09149408340454102,0.09149408340454102,0.09149408340454102,0.0,0.0,3.8504600524902344e-05,2.6941299438476562e-05,5.0067901611328125e-05,1.1563301086425781e-05,1.3370993201533565e-10,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.09149408340454102
normal_traffic_recording_15.pcap,172.19.0.36:46484->172.19.0.8:443,5,11561,172.19.0.36,46484,172.19.0.8,443,5,3,2,535,393,142,107.0,71,131,29.393876913398138,864.0,0.2747091300317583,131.0,131,131,0.0,0.0,0.0,71.0,71,71,0.0,0.0,0.0,3.0369297862052917,0.025471210479736328,12.054353952407837,5.2062167412692855,27.104692757072577,6.0738595724105835,0.06789398193359375,12.079825162887573,6.00596559047699,36.071622673993616,12.079983949661255,12.079983949661255,12.079983949661255,0.0,0.0,5,0,1.0,0.0,0,0.0,1.0,5,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9709505944546686,0.9709505944546686,12.147719144821167
normal_traffic_recording_15.pcap,172.19.0.22:58144->172.19.0.8:443,5,41385,172.19.0.22,58144,172.19.0.8,443,5,1,4,5299,131,5168,1059.8,131,1292,464.4,215667.35999999996,0.4381958860162295,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,7.82012939453125e-05,2.9087066650390625e-05,0.0001919269561767578,6.610754349654215e-05,4.370207307147211e-09,0.0,0.0,0.0,0.0,0.0,4.029273986816406e-05,2.9087066650390625e-05,5.078315734863281e-05,8.871819842396044e-06,7.870918731593217e-11,5,0,1.0,0.0,0,0.0,1.0,5,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.7219280948873623,0.7219280948873623,0.00031280517578125
normal_traffic_recording_15.pcap,172.19.0.35:51164->172.19.0.8:443,5,80,172.19.0.35,51164,172.19.0.8,443,5,2,3,4466,1541,2925,893.2,142,1399,538.6603382466543,290154.96,0.6030680007239748,770.5,142,1399,628.5,395012.25,0.8157040882543802,975.0,337,1294,451.1341263970173,203522.0,0.46270166809950497,0.0037984848022460938,0.00017595291137695312,0.013644933700561523,0.005690672904908042,3.2383758110654526e-05,0.015193939208984375,0.015193939208984375,0.015193939208984375,0.0,0.0,0.0006865262985229492,0.0004730224609375,0.0009000301361083984,0.00021350383758544922,4.558388866371388e-08,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.015193939208984375
normal_traffic_recording_15.pcap,172.19.0.27:49510->172.19.0.8:443,5,5501,172.19.0.27,49510,172.19.0.8,443,5,3,2,535,393,142,107.0,71,131,29.393876913398138,864.0,0.2747091300317583,131.0,131,131,0.0,0.0,0.0,71.0,71,71,0.0,0.0,0.0,2.806893527507782,0.02530193328857422,11.128649950027466,4.804576364647309,23.08395404372755,5.613787055015564,0.0726311206817627,11.154942989349365,5.541155934333801,30.704409088602702,11.15395188331604,11.15395188331604,11.15395188331604,0.0,0.0,5,0,1.0,0.0,0,0.0,1.0,5,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9709505944546686,0.9709505944546686,11.227574110031128
normal_traffic_recording_15.pcap,172.19.0.24:42049->172.19.0.8:443,5,18034,172.19.0.24,42049,172.19.0.8,443,5,3,2,535,393,142,107.0,71,131,29.393876913398138,864.0,0.2747091300317583,131.0,131,131,0.0,0.0,0.0,71.0,71,71,0.0,0.0,0.0,4.203908979892731,0.025563955307006836,15.000709056854248,6.273637336154047,39.358525425586045,8.407817959785461,1.7870409488677979,15.028594970703125,6.620777010917664,43.83468822829583,15.026273012161255,15.026273012161255,15.026273012161255,0.0,0.0,5,0,1.0,0.0,0,0.0,1.0,5,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9709505944546686,0.9709505944546686,16.815635919570923
normal_traffic_recording_15.pcap,172.19.0.37:35944->172.19.0.8:443,5,69692,172.19.0.37,35944,172.19.0.8,443,5,2,3,4456,1541,2915,891.2,142,1399,540.7363128179944,292395.75999999995,0.6067507998406579,770.5,142,1399,628.5,395012.25,0.8157040882543802,971.6666666666666,327,1294,455.8481716049276,207797.55555555553,0.4691404853567008,0.12808525562286377,3.4809112548828125e-05,0.39519405364990234,0.16144619446525393,0.026064873707312586,0.5123410224914551,0.5123410224914551,0.5123410224914551,0.0,0.0,4.0411949157714844e-05,3.4809112548828125e-05,4.601478576660156e-05,5.602836608886719e-06,3.1391778065881226e-11,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.5123410224914551
normal_traffic_recording_15.pcap,172.19.0.39:49591->172.19.0.8:443,5,37,172.19.0.8,443,172.19.0.39,49591,5,3,2,3268,2995,273,653.6,131,1292,530.8124339161621,281761.84,0.8121365267995136,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,136.5,131,142,5.5,30.25,0.040293040293040296,0.003552734851837158,6.389617919921875e-05,0.00864100456237793,0.0031585363272409435,9.97635173050071e-06,0.0016739368438720703,6.389617919921875e-05,0.003283977508544922,0.0016100406646728516,2.5922309419001976e-06,0.00864100456237793,0.00864100456237793,0.00864100456237793,0.0,0.0,4,1,0.8,0.2,0,0.0,1.0,4,1,0,0,0,0.0,0.2,0.0,0.8,0.0,0.9709505944546686,1.9219280948873623,0.014210939407348633
normal_traffic_recording_15.pcap,172.19.0.38:37851->172.19.0.8:443,5,69481,172.19.0.38,37851,172.19.0.8,443,5,2,3,4460,1541,2919,892.0,142,1399,539.9033246795208,291495.6,0.6052727855151578,770.5,142,1399,628.5,395012.25,0.8157040882543802,973.0,331,1294,453.96255352176354,206082.0,0.4665596644622441,0.009843230247497559,2.5987625122070312e-05,0.026567935943603516,0.010956737786481402,0.00012005010292170937,0.039372920989990234,0.039372920989990234,0.039372920989990234,0.0,0.0,4.0531158447265625e-05,2.5987625122070312e-05,5.507469177246094e-05,1.4543533325195312e-05,2.1151436158106662e-10,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.039372920989990234
normal_traffic_recording_15.pcap,172.19.0.22:40087->172.19.0.8:443,5,2595,172.19.0.22,40087,172.19.0.8,443,5,2,3,4455,1541,2914,891.0,142,1399,540.9450988778806,292621.6,0.6071213230952645,770.5,142,1399,628.5,395012.25,0.8157040882543802,971.3333333333334,326,1294,456.3195761257187,208227.5555555556,0.4697867976585985,0.00799328088760376,2.9087066650390625e-05,0.018316984176635742,0.008131713324922938,6.612476159872926e-05,0.03197312355041504,0.03197312355041504,0.03197312355041504,0.0,0.0,3.552436828613281e-05,2.9087066650390625e-05,4.1961669921875e-05,6.4373016357421875e-06,4.143885234952904e-11,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.03197312355041504
