file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,handshake_packets,onertt_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_scan_5.pcap,172.16.0.30:58275->172.19.0.8:443,5,172.16.0.30,58275,172.19.0.8,443,5,4,1,775,400,375,155.0,86,375,111.02071878708045,12325.6,0.7162627018521319,100.0,86,128,16.792855623746664,282.0,0.16792855623746664,375.0,375,375,0.0,0.0,0.0,0.0036875009536743164,3.0040740966796875e-05,0.01176905632019043,0.00471711093227998,2.2251135547435297e-05,0.004916667938232422,3.0040740966796875e-05,0.013759136199951172,0.006264105385761352,3.923901628392438e-05,0.0,0.0,0.0,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,2,3,0,0,0,0.0,0.4,0.0,0.6,0.0,0.7219280948873623,1.9219280948873623,0.014750003814697266
traffic_record_scan_5.pcap,172.16.0.54:46223->172.19.0.8:443,5,172.19.0.8,443,172.16.0.54,46223,5,3,2,4354,2962,1392,870.8,98,1294,525.6091323407538,276264.96,0.6035933995644853,987.3333333333334,374,1294,433.6921591277491,188088.88888888888,0.43925606933938127,696.0,98,1294,598.0,357604.0,0.8591954022988506,0.0013362765312194824,2.384185791015625e-05,0.005053043365478516,0.002147656240873977,4.612427328964941e-06,0.002672553062438965,2.8133392333984375e-05,0.005316972732543945,0.0026444196701049805,6.992955391638134e-06,2.384185791015625e-05,2.384185791015625e-05,2.384185791015625e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,4,0,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.3709505944546687,0.00534510612487793
traffic_record_scan_5.pcap,172.16.0.56:41305->172.19.0.8:443,5,172.16.0.56,41305,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0050087571144104,0.0,0.016438007354736328,0.006756296718278252,4.5647545345417484e-05,0.0100175142288208,0.0,0.0200350284576416,0.0100175142288208,0.0001003505913246272,2.8848648071289062e-05,2.8848648071289062e-05,2.8848648071289062e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.0200350284576416
traffic_record_scan_5.pcap,172.16.0.39:35172->172.19.0.8:443,5,172.16.0.39,35172,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0032807588577270508,9.5367431640625e-07,0.009546995162963867,0.0038951374066212674,1.5172095416460252e-05,0.0065615177154541016,9.5367431640625e-07,0.013122081756591797,0.006560564041137695,4.304100053786897e-05,2.5987625122070312e-05,2.5987625122070312e-05,2.5987625122070312e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.013123035430908203
traffic_record_scan_5.pcap,172.16.0.35:35619->172.19.0.8:443,5,172.16.0.35,35619,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.003181755542755127,9.5367431640625e-07,0.009095907211303711,0.003714421692523676,1.379692850989045e-05,0.006363511085510254,9.5367431640625e-07,0.012726068496704102,0.006362557411193848,4.0482136810737757e-05,3.218650817871094e-05,3.218650817871094e-05,3.218650817871094e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.012727022171020508
traffic_record_scan_5.pcap,172.16.0.43:58421->172.19.0.8:443,5,172.16.0.43,58421,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0031799674034118652,0.0,0.00950002670288086,0.003872889203864427,1.4999270785409635e-05,0.0063599348068237305,0.0,0.012719869613647461,0.0063599348068237305,4.0448770747048e-05,2.6941299438476562e-05,2.6941299438476562e-05,2.6941299438476562e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.012719869613647461
traffic_record_scan_5.pcap,172.16.0.53:59391->172.19.0.8:443,5,172.16.0.53,59391,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.004052519798278809,0.0,0.01129603385925293,0.00463198262652363,2.145526305241674e-05,0.008105039596557617,0.0,0.016210079193115234,0.008105039596557617,6.569166686176686e-05,2.4080276489257812e-05,2.4080276489257812e-05,2.4080276489257812e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.016210079193115234
traffic_record_scan_5.pcap,172.16.0.33:45404->172.19.0.8:443,5,172.16.0.33,45404,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.003294229507446289,0.0,0.009727001190185547,0.003968184314359954,1.574648675273238e-05,0.006588459014892578,0.0,0.013176918029785156,0.006588459014892578,4.340779219091928e-05,1.7881393432617188e-05,1.7881393432617188e-05,1.7881393432617188e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.013176918029785156
traffic_record_scan_5.pcap,172.16.0.31:48542->172.19.0.8:443,5,172.16.0.31,48542,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0030132532119750977,0.0,0.008708000183105469,0.0035527420772867493,1.2621976267723767e-05,0.006026506423950195,0.0,0.01205301284790039,0.006026506423950195,3.631877967791297e-05,3.1948089599609375e-05,3.1948089599609375e-05,3.1948089599609375e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.01205301284790039
traffic_record_scan_5.pcap,172.16.0.37:33589->172.19.0.8:443,5,172.16.0.37,33589,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0032652616500854492,1.1920928955078125e-05,0.009695053100585938,0.003951218452168757,1.5612127256758868e-05,0.0065305233001708984,1.1920928955078125e-05,0.013049125671386719,0.00651860237121582,4.2492176874020515e-05,2.2172927856445312e-05,2.2172927856445312e-05,2.2172927856445312e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.013061046600341797
traffic_record_scan_5.pcap,172.16.0.34:37650->172.19.0.8:443,5,172.16.0.34,37650,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0044362545013427734,1.8835067749023438e-05,0.013133049011230469,0.005352727249460763,2.8651689007119785e-05,0.008872509002685547,1.8835067749023438e-05,0.01772618293762207,0.008853673934936523,7.838754214617438e-05,2.6941299438476562e-05,2.6941299438476562e-05,2.6941299438476562e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,3,0,2,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.017745018005371094
