file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
SCAN4_HTTP3.pcap,172.16.0.35:57752->172.19.0.8:443,172.16.0.35,57752,172.19.0.8,443,413,41,372,465265,9524,455741,1126.5496368038741,67,1481,417.8193077497012,174572.97392843952,0.3708840641368394,232.29268292682926,87,1481,399.60707798502364,159685.81677572874,1.7202740652442219,1225.1102150537633,67,1294,279.9305140411663,78361.0926913516,0.22849414738483892,0.010985985542964009,0.0,0.38715100288391113,0.04204319534646743,0.0017676302749412203,0.1131556510925293,0.0,0.5955080986022949,0.12735976957876294,0.016220510907155587,0.012030749308131134,1.5020370483398438e-05,0.4024231433868408,0.05014477141396673,0.002514498100158975,413,0,1.0,0.0,0,0.0,1.0,413,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.4666887464278495,1.0283803211042026,4.526226043701172
SCAN4_HTTP3.pcap,172.16.0.35:37688->172.19.0.8:443,172.16.0.35,37688,172.19.0.8,443,35,12,23,22339,1166,21173,638.2571428571429,67,1294,601.8513980262259,362225.1053061225,0.9429606934472404,97.16666666666667,90,104,4.179978734661484,17.472222222222218,0.04301864907027256,920.5652173913044,67,1294,564.5803232480439,318750.9413988657,0.6132974748361125,0.03979400326223934,2.5033950805664062e-05,0.21155118942260742,0.06322818014706548,0.003997802764709766,0.12299964644692161,0.00015211105346679688,0.3074531555175781,0.09210571293354537,0.008483462354996666,0.060032010078430176,2.5033950805664062e-05,0.29745006561279297,0.09826031231410716,0.009655088976065878,35,0,1.0,0.0,0,0.0,1.0,35,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9275265884316759,1.8249548896763026,1.3529961109161377
SCAN4_HTTP3.pcap,172.16.0.35:56601->172.19.0.8:443,172.19.0.8,443,172.16.0.35,56601,28,19,9,13005,10526,2479,464.4642857142857,67,1481,518.482502951977,268824.1058673469,1.116302197820481,554.0,67,1294,534.0070963455153,285163.5789473684,0.9639117262554427,275.44444444444446,121,1481,426.23600950936697,181677.1358024692,1.5474481991062132,0.0486418847684507,2.002716064453125e-05,0.2317061424255371,0.0684077972160235,0.004679626719948591,0.06554632716708714,2.002716064453125e-05,0.2994670867919922,0.10137734145393994,0.01027736536026873,0.15696999430656433,0.010350942611694336,0.356752872467041,0.11435372848969413,0.013076775219494685,28,0,1.0,0.0,0,0.0,1.0,28,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9059282160429991,2.4087385128172407,1.313330888748169
SCAN4_HTTP3.pcap,172.16.0.35:56085->172.19.0.8:443,172.19.0.8,443,172.16.0.35,56085,9,5,4,703,344,359,78.11111111111111,67,90,10.54560934907082,111.20987654320987,0.13500780105496069,68.8,67,72,2.2271057451320084,4.959999999999999,0.03237072303970943,89.75,89,90,0.4330127018922193,0.1875,0.004824654060080438,0.017786622047424316,2.002716064453125e-05,0.0628960132598877,0.024118532933938987,0.0005817036308854995,0.01984924077987671,2.002716064453125e-05,0.04698300361633301,0.020395472066089066,0.00041597528079861945,0.03673529624938965,0.0002529621124267578,0.06297183036804199,0.0266101036240963,0.0007080976148851429,9,0,1.0,0.0,0,0.0,1.0,9,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9910760598382222,1.8910611120726526,0.14229297637939453
SCAN4_HTTP3.pcap,172.16.0.25:50696->172.19.0.8:443,172.16.0.25,50696,172.19.0.8,443,47,8,39,49338,3161,46177,1049.7446808510638,67,1294,471.19063622189697,222020.61566319602,0.44886213268533703,395.125,86,1294,519.1308692179651,269496.859375,1.3138395930856441,1184.025641025641,67,1294,326.1097414139938,106347.5634451019,0.27542456017380423,0.0009612829788871434,0.0,0.025404930114746094,0.0038926985531965515,1.5153102026058526e-05,0.006317002432686942,0.0,0.025447845458984375,0.008697937218511422,7.565411185716621e-05,0.00027897483424136515,1.5020370483398438e-05,0.003748178482055664,0.0008625914995177838,7.440640950403389e-07,41,6,0.8723404255319149,0.1276595744680851,0,0.0,1.0,41,2,4,0,0,0.0425531914893617,0.0851063829787234,0.0,0.8723404255319149,0.0,0.6581912658132185,1.2833170532037832,0.044219017028808594
SCAN4_HTTP3.pcap,172.16.0.35:49237->172.19.0.8:443,172.16.0.35,49237,172.19.0.8,443,337,41,296,359280,9272,350008,1066.112759643917,67,1444,464.1277442180315,215414.5629529185,0.43534582999742993,226.14634146341464,86,1444,372.40762881392516,138687.44199881025,1.6467550454455275,1182.4594594594594,67,1294,338.7896556698522,114778.43078889702,0.28651270279043983,0.016161541144053142,0.0,0.670374870300293,0.07336475526001154,0.005382387314361392,0.1357569456100464,0.0,0.8037848472595215,0.2143625126971238,0.045951286849824566,0.01817081014988786,1.4066696166992188e-05,0.729550838470459,0.08919109030308318,0.007955050589452738,322,15,0.9554896142433235,0.04451038575667656,0,0.0,1.0,322,2,13,0,0,0.005934718100890208,0.03857566765578635,0.0,0.9554896142433235,0.0,0.5341186434503731,1.372549370820224,5.4302778244018555
SCAN4_HTTP3.pcap,172.16.0.25:43165->172.19.0.8:443,172.16.0.25,43165,172.19.0.8,443,55,16,39,50025,3849,46176,909.5454545454545,67,1294,552.4438866834209,305194.2479338844,0.6073845830602329,240.5625,86,1294,398.2938564599635,158637.99609375,1.6556772417145793,1184.0,67,1294,326.1735419790813,106389.17948717948,0.27548441045530514,0.0007620917426215278,0.0,0.025408029556274414,0.0036024778516150235,1.2977846671376795e-05,0.0027435302734375,0.0,0.025434017181396484,0.006723196229477063,4.5201367540054594e-05,0.00019050271887528268,2.09808349609375e-05,0.0034608840942382812,0.000665482500243781,4.42866958130714e-07,49,6,0.8909090909090909,0.10909090909090909,0,0.0,1.0,49,2,4,0,0,0.03636363636363636,0.07272727272727272,0.0,0.8909090909090909,0.0,0.8698926856041562,1.494644721944205,0.0411529541015625
SCAN4_HTTP3.pcap,172.16.0.35:42334->172.19.0.8:443,172.16.0.35,42334,172.19.0.8,443,460,58,402,493271,13672,479599,1072.3282608695652,67,1481,465.40908006829744,216605.61181001892,0.4340173592840788,235.72413793103448,86,1481,395.0096372941948,156032.61355529135,1.6757284203527867,1193.0323383084576,67,1294,331.3517714856397,109793.99646667158,0.2777391365228601,0.010249856250738007,0.0,0.4687769412994385,0.04117082465354962,0.0016950368026533292,0.08253831612436395,0.0,0.6549429893493652,0.12700639318472992,0.016130623909794212,0.011575009757443853,1.5974044799804688e-05,0.5226237773895264,0.047985229015142794,0.0023025822036357017,444,16,0.9652173913043478,0.034782608695652174,0,0.0,1.0,444,2,14,0,0,0.004347826086956522,0.030434782608695653,0.0,0.9652173913043478,0.0,0.5466081431806177,1.2880899297632025,4.704684019088745
SCAN4_HTTP3.pcap,172.16.0.25:41627->172.19.0.8:443,172.16.0.25,41627,172.19.0.8,443,56,17,39,50110,3934,46176,894.8214285714286,67,1294,558.2724663492492,311668.1466836735,0.6238925985942517,231.41176470588235,86,1294,388.1314299569351,150646.0069204152,1.6772329205053118,1184.0,67,1294,326.1735419790813,106389.17948717948,0.27548441045530514,0.000288291410966353,0.0,0.008069038391113281,0.0011534434256327015,1.3304317361353014e-06,0.0009910017251968384,0.0,0.011150836944580078,0.002658322887427248,7.066680573819539e-06,0.00020191543980648644,3.504753112792969e-05,0.0032379627227783203,0.0006256710311346647,3.9146423920111454e-07,50,6,0.8928571428571429,0.10714285714285714,0,0.0,1.0,50,2,4,0,0,0.03571428571428571,0.07142857142857142,0.0,0.8928571428571429,0.0,0.885612871398971,1.5063640137700087,0.015856027603149414
SCAN4_HTTP3.pcap,172.16.0.35:57855->172.19.0.8:443,172.16.0.35,57855,172.19.0.8,443,699,71,628,747522,14864,732658,1069.4163090128754,67,1481,467.5681154298635,218619.94256663416,0.43721805202452185,209.35211267605635,86,1481,361.3261605897399,130556.59432652254,1.725925551794371,1166.6528662420383,67,1294,368.0917271897626,135491.5196255426,0.3155109268924531,0.012968019974607451,0.0,0.33908510208129883,0.0462707338788135,0.0021409808136839794,0.12930968488965716,0.0,0.5524728298187256,0.13079995127556499,0.01710862725369017,0.014138327070780728,1.5020370483398438e-05,0.39530014991760254,0.055728711165210144,0.0031056892481354176,681,18,0.9742489270386266,0.02575107296137339,0,0.0,1.0,681,2,16,0,0,0.002861230329041488,0.022889842632331903,0.0,0.9742489270386266,0.0,0.4739642737176766,1.2670811403470017,9.051677942276001
