file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_19.pcap,172.19.0.38:47926->172.19.0.8:443,172.19.0.38,47926,172.19.0.8,443,12342,1113,11229,14511496,145803,14365693,1175.7815589045535,69,1294,343.27209907657897,117835.73400444066,0.2919522733426752,131.0,131,131,0.0,0.0,0.0,1279.3385875857155,69,1294,102.94117728990996,10596.885981832673,0.08046437298836882,0.007455561286809427,0.0,15.000774145126343,0.3152066008846382,0.0993552012412476,0.0827419800724057,0.0,15.027286052703857,1.0484089520630226,1.0991613307658854,0.008050666464407078,1.3113021850585938e-05,15.032543897628784,0.33072745842221574,0.10938065175441844,12342,0,1.0,0.0,0,0.0,1.0,12342,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.43706992690342816,0.8637600848948553,92.00908184051514
normal_traffic_recording_19.pcap,172.19.0.30:42545->172.19.0.8:443,172.19.0.30,42545,172.19.0.8,443,431,20,411,523634,3306,520328,1214.9280742459396,66,1294,282.3720488026663,79733.97394501537,0.23241873719802228,165.3,131,333,69.05512290916583,4768.610000000001,0.41775633943838975,1266.0048661800486,66,1294,164.80731202824342,27161.45009797479,0.13017905099016014,0.0008917974871258403,1.4066696166992188e-05,0.13492202758789062,0.009107898286869002,8.295381120395132e-05,0.019957103227314196,0.00029277801513671875,0.13492202758789062,0.03885800887398988,0.0015099448536510765,0.0009281850442653749,1.7881393432617188e-05,0.1611649990081787,0.010316549914651526,0.00010643120214149641,431,0,1.0,0.0,0,0.0,1.0,431,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.27091915006144407,0.6776616823652563,0.38347291946411133
normal_traffic_recording_19.pcap,172.19.0.27:53814->172.19.0.8:443,172.19.0.27,53814,172.19.0.8,443,42525,1630,40895,52704800,213530,52491270,1239.3838918283363,66,1294,232.93091173261138,54256.80964058559,0.18794089004093173,131.0,131,131,0.0,0.0,0.0,1283.562049150263,66,1294,74.17087996744844,5501.319435145645,0.057785192399970584,0.006091137594410151,0.0,29.13845705986023,0.31824311658206944,0.10127868125186865,0.15900523945039735,0.0,29.13845705986023,1.6201775563315108,2.6249753140403462,0.005725365947404922,1.2874603271484375e-05,29.191179990768433,0.3007765965815339,0.09046656105117079,42525,0,1.0,0.0,0,0.0,1.0,42525,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.234584029434859,0.5238862268540585,259.01953506469727
normal_traffic_recording_19.pcap,172.19.0.41:39053->172.19.0.8:443,172.19.0.41,39053,172.19.0.8,443,2543,104,2439,3123690,18908,3104782,1228.348407392843,66,1399,256.0674029795255,65570.51486867873,0.20846479829206274,181.80769230769232,131,1399,191.68795139512332,36744.27071005916,1.0543445602439614,1272.9733497334973,66,1294,134.56029750452785,18106.473664507044,0.10570551027851341,0.01003597169106256,6.198883056640625e-06,24.6437668800354,0.4887034408961297,0.23883105314371694,0.2476423388545953,9.989738464355469e-05,24.646041870117188,2.4158908747715357,5.836528718804376,0.010456925342081022,1.4066696166992188e-05,24.64411497116089,0.4990247352935719,0.2490256864348195,2538,5,0.9980338183248132,0.001966181675186787,0,0.0,1.0,2538,1,4,0,0,0.00039323633503735744,0.0015729453401494297,0.0,0.9980338183248132,0.0,0.24638797592071338,0.6067892350480188,25.51144003868103
normal_traffic_recording_19.pcap,172.19.0.36:56278->172.19.0.8:443,172.19.0.36,56278,172.19.0.8,443,11936,429,11507,14833695,56199,14777496,1242.7693532171581,70,1294,225.2091941621645,50719.1811351715,0.1812156001265764,131.0,131,131,0.0,0.0,0.0,1284.2179542886938,70,1294,69.3599682402289,4810.805194285562,0.05400949893948974,0.00590683627837764,4.0531158447265625e-06,15.00069808959961,0.2750949993990817,0.07567725869438079,0.16471516584681573,6.580352783203125e-05,15.02748703956604,1.4457867211382245,2.090299243019618,0.005819081949313247,1.2874603271484375e-05,15.027678966522217,0.27867370437450373,0.07765903350980831,11936,0,1.0,0.0,0,0.0,1.0,11936,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.22336502681753045,0.4891113830319592,70.49809098243713
normal_traffic_recording_19.pcap,172.19.0.20:58100->172.19.0.8:443,172.19.0.20,58100,172.19.0.8,443,2519,81,2438,3120826,16064,3104762,1238.9146486701072,66,1399,233.14459292590334,54356.40121058518,0.18818454780252103,198.320987654321,131,1399,213.20510192170426,45456.4154854443,1.0750506259747288,1273.487284659557,66,1294,132.21482864252206,17480.760912971477,0.10382108265640613,0.01222353136851922,0.0,29.777041912078857,0.5933018426001637,0.3520070764327495,0.3847076117992401,0.0,29.843337059020996,3.3144403832177987,10.98551505390495,0.01262303977703334,1.3828277587890625e-05,29.779448986053467,0.6031349452531353,0.36377176218550245,2514,5,0.9980150853513299,0.001984914648670107,0,0.0,1.0,2514,1,4,0,0,0.0003969829297340214,0.0015879317189360857,0.0,0.9980150853513299,0.0,0.2050895681769837,0.5480696245329886,30.778851985931396
normal_traffic_recording_19.pcap,172.19.0.22:55338->172.19.0.8:443,172.19.0.22,55338,172.19.0.8,443,70414,3257,67157,86613160,428322,86184838,1230.0559547817195,66,1399,253.0824203125776,64050.711471272196,0.20574870543794777,131.5081363217685,131,1399,22.760881625893266,518.0577323879257,0.1730758435371855,1283.3336509969176,66,1294,75.92975038281581,5765.326993196719,0.059166024613967035,0.004247536097232063,0.0,15.001029014587402,0.24109272086843556,0.058125700055745376,0.09185557715430014,0.0,15.03224515914917,1.1187746240633696,1.2516566594481338,0.0044522189356968455,8.106231689453125e-06,15.034324884414673,0.2472911190794701,0.06115289757557667,70409,5,0.9999289913937569,7.100860624307666e-05,0,0.0,1.0,70409,1,4,0,0,1.4201721248615333e-05,5.680688499446133e-05,0.0,0.9999289913937569,0.0,0.27027027162809936,0.582663349640607,299.08175921440125
normal_traffic_recording_19.pcap,172.19.0.40:60915->172.19.0.8:443,172.19.0.40,60915,172.19.0.8,443,70295,3446,66849,86266794,453255,85813539,1227.2109538373995,66,1399,258.7198186433866,66935.94455886686,0.21081935247920378,131.53076030179918,131,1399,22.325795855787877,498.4411605943152,0.1697382103210004,1283.6921868689135,66,1294,72.69961685698023,5285.2342911517235,0.0566332159692455,0.00393565265736268,0.0,15.003753900527954,0.23201385649110237,0.053830429603873846,0.08029820894814368,0.0,15.027061939239502,1.0462755040783405,1.0946924304343852,0.004137510875157045,9.059906005859375e-06,15.033725023269653,0.23837485395726202,0.056822570999146,70290,5,0.9999288711857174,7.112881428266591e-05,0,0.0,1.0,70290,1,4,0,0,1.4225762856533182e-05,5.690305142613273e-05,0.0,0.9999288711857174,0.0,0.2822277773016931,0.6110658924755863,276.6527678966522
normal_traffic_recording_19.pcap,172.19.0.32:38695->172.19.0.8:443,172.19.0.32,38695,172.19.0.8,443,2554,113,2441,3125036,20087,3104949,1223.584964761159,66,1399,266.20071505911153,70862.8206979823,0.21755801413518783,177.76106194690266,131,1399,173.04008816498737,29942.872112146604,0.9734420253220278,1271.9987709954937,66,1294,140.64457018825271,19780.895123438342,0.11056973748345782,0.009269611815868337,8.821487426757812e-06,22.76523494720459,0.4504823140283878,0.202934315252371,0.21126848033496312,0.0001327991485595703,22.766776084899902,2.1409770896113303,4.583782898240602,0.009688462781124427,1.3828277587890625e-05,22.765908002853394,0.46081111979299394,0.212346888124873,2549,5,0.9980422866092404,0.001957713390759593,0,0.0,1.0,2549,1,4,0,0,0.00039154267815191856,0.0015661707126076742,0.0,0.9980422866092404,0.0,0.26142474627331397,0.6503812332715847,23.665318965911865
normal_traffic_recording_19.pcap,172.19.0.19:57697->172.19.0.8:443,172.19.0.19,57697,172.19.0.8,443,2578,107,2471,3168011,19253,3148758,1228.8638479441427,66,1399,254.7908033199223,64918.353456411336,0.20733851333179076,179.93457943925233,131,1399,184.52329443037797,34048.84618743996,1.0255021297486338,1274.284904896803,66,1294,128.6410738095858,16548.525870883306,0.10095157944290621,0.007897699624010884,0.0,19.47664785385132,0.38361436034954216,0.1471599774663884,0.19198315098600569,0.0,19.478935956954956,1.8823326707132741,3.5431762832345677,0.00823472878228315,1.2874603271484375e-05,19.478083848953247,0.3918690292689341,0.15356133610017672,2573,5,0.9980605120248255,0.001939487975174554,0,0.0,1.0,2573,1,4,0,0,0.0003878975950349108,0.0015515903801396431,0.0,0.9980605120248255,0.0,0.24915070417920374,0.6262371624427794,20.35237193107605
