file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_1O.pcap,172.19.0.22:50778->172.19.0.8:443,172.19.0.8,443,172.19.0.22,50778,30206,29365,841,37788749,37678578,110171,1251.0345295636628,66,1294,203.7383136195171,41509.3004365247,0.16285586752795478,1283.111799761621,66,1294,75.77272647430603,5741.506077349997,0.05905387705762135,131.0,131,131,0.0,0.0,0.0,0.004261072438553733,0.0,15.10693883895874,0.22981492333928136,0.05281489898943977,0.004383103600023813,9.059906005859375e-06,15.147284984588623,0.23344965886093327,0.054498743222286115,0.1531892975171407,0.0,15.10693883895874,1.37126293790312,1.8803620448666958,30206,0,1.0,0.0,0,0.0,1.0,30206,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.18345214394996354,0.41202996337492354,128.7056930065155
normal_traffic_recording_1O.pcap,172.19.0.37:38365->172.19.0.8:443,172.19.0.37,38365,172.19.0.8,443,37264,1989,35275,45514736,260559,45254177,1221.4130528123658,66,1294,270.16488424940025,72989.06468149184,0.2211904348224639,131.0,131,131,0.0,0.0,0.0,1282.8965839829907,66,1294,79.25858401010959,6281.923139287598,0.061780961146561474,0.0040562968897371,0.0,15.004760026931763,0.23282126323001678,0.05420574061202076,0.07603108199309536,0.0,15.030057907104492,1.0063751791470834,1.0127910012033243,0.004284250720690767,1.1920928955078125e-05,15.036494970321655,0.23968722083854335,0.05744996383330465,37264,0,1.0,0.0,0,0.0,1.0,37264,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3005680838644132,0.6291196965373238,151.14979100227356
normal_traffic_recording_1O.pcap,172.19.0.23:52999->172.19.0.8:443,172.19.0.23,52999,172.19.0.8,443,38,3,35,43447,668,42779,1143.342105263158,66,1294,385.2794799893073,148440.27770083104,0.3369765516512918,222.66666666666666,131,406,129.63624321753372,16805.555555555555,0.5821986970847323,1222.2571428571428,66,1294,284.3246979731993,80840.53387755102,0.2326226519802234,0.0012970486202755489,2.09808349609375e-05,0.02075481414794922,0.004508526766069858,2.0326813600368336e-05,0.023995399475097656,0.022812843322753906,0.025177955627441406,0.00118255615234375,1.3984390534460545e-06,0.0007454156875610352,2.09808349609375e-05,0.019001007080078125,0.003286400783388503,1.0800430109056566e-05,38,0,1.0,0.0,0,0.0,1.0,38,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3984592740952357,0.932138039759375,0.04799079895019531
normal_traffic_recording_1O.pcap,172.19.0.21:45797->172.19.0.8:443,172.19.0.21,45797,172.19.0.8,443,36976,1941,35035,45173796,254271,44919525,1221.7058632626567,66,1294,269.64836365109153,72710.24001971129,0.2207146349702992,131.0,131,131,0.0,0.0,0.0,1282.1328671328672,66,1294,84.72900150717874,7179.003696403497,0.06608441580368463,0.003997694818936465,0.0,15.00410008430481,0.23251626567003617,0.05406381380113884,0.0761931783145236,0.0,15.00469708442688,1.0133076980325306,1.0267924908919863,0.004218570417197401,1.1920928955078125e-05,15.056098937988281,0.2392338223215177,0.0572328217425635,36976,0,1.0,0.0,0,0.0,1.0,36976,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.2968962328424374,0.6280243247501868,147.81476593017578
normal_traffic_recording_1O.pcap,172.19.0.17:38245->172.19.0.8:443,172.19.0.17,38245,172.19.0.8,443,446,33,413,525482,5009,520473,1178.2107623318386,66,1294,340.98725101537775,116272.30535502425,0.28941108154581596,151.78787878787878,131,333,56.31123337835327,3170.955004591368,0.37098636484041886,1260.225181598063,66,1294,185.47673054623206,34401.61757411957,0.1471774515019873,0.0011150156514028486,0.0,0.20263409614562988,0.011996746088940042,0.0001439219167224982,0.015505686402320862,0.0,0.20263409614562988,0.04251477176354855,0.001807505818106625,0.0011925361688854626,1.5020370483398438e-05,0.20544815063476562,0.012963278957402574,0.00016804660132743637,446,0,1.0,0.0,0,0.0,1.0,446,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3806439175546996,0.7748540581836413,0.4961819648742676
normal_traffic_recording_1O.pcap,172.19.0.27:55042->172.19.0.8:443,172.19.0.27,55042,172.19.0.8,443,3,2,1,333,262,71,111.0,71,131,28.284271247461902,800.0,0.2548132544816388,131.0,131,131,0.0,0.0,0.0,71.0,71,71,0.0,0.0,0.0,0.3707010746002197,0.03644514083862305,0.7049570083618164,0.3342559337615967,0.11172702925483691,0.7414021492004395,0.7414021492004395,0.7414021492004395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1.0,0.0,0,0.0,1.0,3,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9182958340544896,0.9182958340544896,0.7414021492004395
normal_traffic_recording_1O.pcap,172.19.0.24:47449->172.19.0.8:443,172.19.0.24,47449,172.19.0.8,443,11696,573,11123,14355346,75063,14280283,1227.3722640218878,70,1294,258.5922525420372,66869.95307476477,0.2106877107477359,131.0,131,131,0.0,0.0,0.0,1283.851748628967,70,1294,72.12681907946146,5202.2780305213655,0.05618002168590425,0.007213863117565401,0.0,15.007554054260254,0.31038618727284356,0.09633958524977271,0.14749323279707582,0.0,15.026602983474731,1.3983273977482704,1.9553195112934496,0.006571188716445975,1.2159347534179688e-05,15.038454055786133,0.300457283254544,0.09027457906070131,11696,0,1.0,0.0,0,0.0,1.0,11696,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.2820957002951172,0.6076529063632798,84.36612915992737
normal_traffic_recording_1O.pcap,172.19.0.36:41103->172.19.0.8:443,172.19.0.36,41103,172.19.0.8,443,36157,1590,34567,44572636,208290,44364346,1232.7526066875018,66,1294,247.14075304882581,61078.551817540705,0.20047879169601712,131.0,131,131,0.0,0.0,0.0,1283.4306130124107,66,1294,74.0616933040152,5485.13441505801,0.057706036113772376,0.005959418465149773,0.0,16.642937898635864,0.2814392246039318,0.07920803714566235,0.13560021021142554,0.0,16.642937898635864,1.3376571080708592,1.7893265387724946,0.0057506117839776815,1.0013580322265625e-05,15.04923701286316,0.274053782068798,0.07510547546621223,36157,0,1.0,0.0,0,0.0,1.0,36157,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.2602290777531147,0.5647516442067897,215.4687340259552
normal_traffic_recording_1O.pcap,172.19.0.38:50464->172.19.0.8:443,172.19.0.38,50464,172.19.0.8,443,34756,1560,33196,42825399,206190,42619209,1232.1728334676027,66,1399,248.8390030320971,61920.84943000804,0.2019513791192831,132.17307692307693,131,1399,33.172927535895504,1100.4431213017742,0.250980973645652,1283.865797083986,66,1294,72.41968121939851,5244.610227919301,0.05640751656745091,0.0032638175249820028,0.0,15.0035240650177,0.2076888336787844,0.04313465163485377,0.07276073000689513,0.0,15.026604890823364,0.979071899404838,0.9585817842041972,0.0033376320242648346,7.867813110351562e-06,15.032616138458252,0.2124322954735994,0.04512748016018264,34751,5,0.9998561399470595,0.00014386005294049947,0,0.0,1.0,34751,1,4,0,0,2.8772010588099897e-05,0.00011508804235239959,0.0,0.9998561399470595,0.0,0.2642550219559181,0.579115546771333,113.43397808074951
normal_traffic_recording_1O.pcap,172.19.0.22:36823->172.19.0.8:443,172.19.0.22,36823,172.19.0.8,443,69546,1586,67960,87382332,209595,87172737,1256.4681218186524,66,1399,188.53295911306964,35544.67667193039,0.15004993428737448,132.15321563682218,131,1399,32.897963775209774,1082.2760205550144,0.24893804979833825,1282.7065479693938,66,1294,78.48710682088061,6160.225937112325,0.06118866933760547,0.004548067768537662,0.0,26.172938108444214,0.2516767420289972,0.0633411824783304,0.199539395612121,0.0,26.172938108444214,1.6568365670730283,2.7451074099903376,0.004653717740087709,1.1920928955078125e-05,26.219786882400513,0.25506576490149185,0.06505854442478312,69541,5,0.9999281051390446,7.189486095533891e-05,0,0.0,1.0,69541,1,4,0,0,1.4378972191067782e-05,5.751588876427113e-05,0.0,0.9999281051390446,0.0,0.15691290616314582,0.37469128759292003,316.29537296295166
