file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_25.pcap,172.19.0.63:41927->172.19.0.8:443,172.19.0.63,41927,172.19.0.8,443,29596,3903,25693,33295390,514306,32781084,1124.9962832815245,66,1399,403.01047171997936,162417.44031596027,0.3582327139290007,131.77197027927235,131,1399,29.138369803599385,849.0445948113125,0.22112722259403625,1275.8760751955786,66,1294,119.74538586847142,14338.957436789113,0.09385346131685689,0.006671241256590126,0.0,11.287993907928467,0.09244470613820077,0.008546023692978296,0.04488473168279745,0.0,3.3304030895233154,0.1458038422545651,0.02125876041619411,0.007661660085414107,1.2159347534179688e-05,11.287993907928467,0.1002063252461786,0.01004130761934293,29584,12,0.999594539802676,0.0004054601973239627,0,0.0,1.0,3,9,29584,0,0,0.00010136504933099067,0.00030409514799297204,0.0,0.999594539802676,0.0,0.5625605742922587,1.0638932997451476,197.4353849887848
normal_traffic_recording_25.pcap,172.19.0.54:51518->172.19.0.8:443,172.19.0.8,443,172.19.0.54,51518,19368,16899,2469,21892281,21568842,323439,1130.3325588599753,66,1294,397.2402344314009,157799.80385111432,0.3514366027216338,1276.3383632167584,66,1294,116.74258033496463,13628.83006326567,0.0914667957176638,131.0,131,131,0.0,0.0,0.0,0.005545910421483634,0.0,2.1269500255584717,0.04673577669380943,0.002184232823173621,0.006356167305092908,1.2874603271484375e-05,3.472230911254883,0.05499363015897717,0.0030242993580623634,0.043508196959039576,0.0,2.12752103805542,0.12813587331361753,0.01641880202984344,19368,0,1.0,0.0,0,0.0,1.0,0,0,19368,0,0,0.0,0.0,0.0,1.0,0.0,0.5504816715949468,1.0381182840859726,107.40764713287354
normal_traffic_recording_25.pcap,172.19.0.19:39831->172.19.0.8:443,172.19.0.8,443,172.19.0.19,39831,30641,26673,3968,34579936,34060009,519927,1128.5511569465748,66,1294,399.16610321158026,159333.57795311796,0.35369783704938124,1276.947062572639,66,1294,113.95987142210747,12986.852294543267,0.08924400608472748,131.02998991935485,131,250,1.8888888289052106,3.5679010079628983,0.014415698498242783,0.006158804341022402,0.0,2.315624952316284,0.05137919853336735,0.0026398220419311777,0.00707505117759922,1.1920928955078125e-05,3.4069302082061768,0.059943563086081286,0.0035932307554550074,0.04724560975126935,0.0,2.32008695602417,0.14048680344918235,0.019736541943369195,30641,0,1.0,0.0,0,0.0,1.0,0,0,30641,0,0,0.0,0.0,0.0,1.0,0.0,0.5560644846334681,1.0579909090606388,188.7057650089264
normal_traffic_recording_25.pcap,172.19.0.40:54628->172.19.0.8:443,172.19.0.8,443,172.19.0.40,54628,16329,14276,2053,18521373,18252430,268943,1134.26253904097,66,1294,393.06013664652505,154496.27102058494,0.3465336490605263,1278.539506864668,66,1294,105.5960117727301,11150.517702306553,0.08259112151464187,131.0,131,131,0.0,0.0,0.0,0.00572156895906653,0.0,3.6628360748291016,0.052056532375204495,0.0027098825629307136,0.006544432782041212,1.4066696166992188e-05,3.663724899291992,0.05980718689771622,0.003576899604618359,0.04523478950905754,0.0,3.6797401905059814,0.1440050454891074,0.02073745312631989,16329,0,1.0,0.0,0,0.0,1.0,0,0,16329,0,0,0.0,0.0,0.0,1.0,0.0,0.5456025642599676,1.0236322595322982,93.4217779636383
normal_traffic_recording_25.pcap,172.19.0.62:36629->172.19.0.8:443,172.19.0.8,443,172.19.0.62,36629,7546,6539,1007,8476504,8344587,131917,1123.3108931884442,66,1294,404.76877868587843,163837.76419885765,0.36033548783362085,1276.1258602232758,66,1294,118.64341099221095,14076.258971866682,0.09297155922492836,131.0,131,131,0.0,0.0,0.0,0.006719102063188496,0.0,2.0883970260620117,0.05420663778684775,0.00293835958015451,0.007753995880507372,1.4066696166992188e-05,2.1230969429016113,0.06016979733521,0.0036204045113602448,0.05026581107266618,0.0,2.091114044189453,0.144417789121663,0.020856497814789123,7546,0,1.0,0.0,0,0.0,1.0,0,0,7546,0,0,0.0,0.0,0.0,1.0,0.0,0.5668195727976825,1.0409944980072252,50.6956250667572
normal_traffic_recording_25.pcap,172.19.0.50:38117->172.19.0.8:443,172.19.0.8,443,172.19.0.50,38117,8784,7536,1248,9786219,9622731,163488,1114.0959699453551,66,1294,413.71899562697496,171163.40734259292,0.371349512777851,1276.9016719745223,66,1294,113.79636903937808,12949.613606546325,0.0891191323004616,131.0,131,131,0.0,0.0,0.0,0.007441648871782197,0.0,2.7455670833587646,0.06327193195608022,0.004003337373454845,0.00867418739759297,1.2874603271484375e-05,3.3613531589508057,0.0729246281030875,0.005318001383973619,0.051707121115640915,0.0,2.7455670833587646,0.16361751082948586,0.026770689850036927,8784,0,1.0,0.0,0,0.0,1.0,0,0,8784,0,0,0.0,0.0,0.0,1.0,0.0,0.5896512576957702,1.088695033128972,65.36000204086304
normal_traffic_recording_25.pcap,172.19.0.60:48251->172.19.0.8:443,172.19.0.8,443,172.19.0.60,48251,8384,7194,1190,9338342,9182452,155890,1113.8289599236641,66,1294,414.14985503399805,171520.10242468162,0.3718253609264942,1276.4042257436754,66,1294,116.95217290272586,13677.810746669087,0.0916262815054421,131.0,131,131,0.0,0.0,0.0,0.007181669922584881,0.0,3.3570969104766846,0.06060181958139194,0.00367258053657558,0.008369795490202843,1.0967254638671875e-05,3.368875026702881,0.06806258190954577,0.004632515056193627,0.05039963509677537,0.0,3.375339984893799,0.1574478229487932,0.024789816951314526,8384,0,1.0,0.0,0,0.0,1.0,0,0,8384,0,0,0.0,0.0,0.0,1.0,0.0,0.5892893065991945,1.0889208510972657,60.20393896102905
normal_traffic_recording_25.pcap,172.19.0.55:55775->172.19.0.8:443,172.19.0.8,443,172.19.0.55,55775,41668,36565,5103,47420919,46752426,668493,1138.0656378995873,66,1294,388.88173754413157,151229.00579534282,0.3417041377875632,1278.6114043484206,66,1294,105.08355858727579,11042.554285365424,0.08218568849761378,131.0,131,131,0.0,0.0,0.0,0.005840953363925823,0.0,2.336948871612549,0.0459621079101434,0.0021125153635436667,0.006656137288444844,1.1920928955078125e-05,3.171236038208008,0.05302819658719831,0.0028119896332905506,0.04753330066034907,0.0,2.336948871612549,0.12724058417889808,0.016190166262187246,41668,0,1.0,0.0,0,0.0,1.0,0,0,41668,0,0,0.0,0.0,0.0,1.0,0.0,0.5364139216107269,1.0221939213783138,243.37500381469727
normal_traffic_recording_25.pcap,172.19.0.58:53815->172.19.0.8:443,172.19.0.8,443,172.19.0.58,53815,41214,36311,4903,46950850,46308557,642293,1139.196632212355,66,1294,387.7731070383289,150367.98254215927,0.34039172525050526,1275.3313596430833,66,1294,122.01895623383142,14888.625680393667,0.09567627684461541,131.0,131,131,0.0,0.0,0.0,0.005865142603036002,0.0,3.3407979011535645,0.048216091351759006,0.00232479146524117,0.0066571226135753985,1.0967254638671875e-05,3.361792802810669,0.05409983867436312,0.0029267925445921154,0.049231690516135296,0.0,3.357206106185913,0.1361228362841253,0.018529426558034783,41214,0,1.0,0.0,0,0.0,1.0,0,0,41214,0,0,0.0,0.0,0.0,1.0,0.0,0.5263768062219298,1.0209427778708657,241.72012209892273
normal_traffic_recording_25.pcap,172.19.0.52:46447->172.19.0.8:443,172.19.0.52,46447,172.19.0.8,443,15,7,8,8123,4743,3380,541.5333333333333,69,1399,580.9508145177945,337503.84888888884,1.0727886517009624,677.5714285714286,131,1399,624.7893032610175,390361.67346938775,0.9221010168305128,422.5,69,1294,510.77514622385456,260891.25,1.208935257334567,0.45014892305646625,9.5367431640625e-07,3.9482429027557373,1.000956512508372,1.0019139399329224,0.9401941696802775,9.5367431640625e-07,4.032639026641846,1.4275596736198857,2.0379266217457146,0.7668128694806781,0.00010609626770019531,4.293067932128906,1.4587187891703934,2.127860505878739,4,11,0.26666666666666666,0.7333333333333333,0,0.0,1.0,3,8,4,0,0,0.2,0.5333333333333333,0.0,0.26666666666666666,0.0,0.9967916319816366,3.056564762130954,6.302084922790527
normal_traffic_recording_25.pcap,172.19.0.56:38364->172.19.0.8:443,172.19.0.56,38364,172.19.0.8,443,26089,3335,22754,29488817,443918,29044899,1130.3161102380313,66,1399,397.32469606509295,157866.91410321847,0.3515164408135535,133.10884557721138,131,1399,49.47298109864866,2447.575858787248,0.37167312873997743,1276.4744220796345,66,1294,116.33562090096349,13533.976690412692,0.09113823112211625,0.006933787261295524,0.0,9.99711799621582,0.09056901897228631,0.008202747197602358,0.04827130563114672,0.0,2.9816291332244873,0.1544927851507608,0.02386802066363913,0.007856761262332278,1.1920928955078125e-05,9.99711799621582,0.09761223956768826,0.009528149313419765,26069,20,0.9992333933841849,0.0007666066158150945,0,0.0,1.0,6,14,26069,0,0,0.00022998198474452836,0.0005366246310705661,0.0,0.9992333933841849,0.0,0.5514613552207992,1.0509888951133666,180.8886420726776
normal_traffic_recording_25.pcap,172.19.0.32:46460->172.19.0.8:443,172.19.0.32,46460,172.19.0.8,443,33,20,13,15998,9395,6603,484.7878787878788,66,1399,538.0398632058138,289486.8943985308,1.1098459486055667,469.75,131,1399,539.4913229144654,291050.8875,1.1484647640542105,507.9230769230769,66,1294,534.9744007590042,286197.6094674556,1.0532587020849697,0.9467219710350037,0.0,12.588373899459839,2.3525740778410054,5.534604791729456,1.594479109111585,0.0,13.434583902359009,3.0885774072301335,9.539310400452415,1.3183621764183044,7.700920104980469e-05,6.241441011428833,2.0032839764615837,4.013146690347734,18,15,0.5454545454545454,0.45454545454545453,0,0.0,1.0,5,10,18,0,0,0.15151515151515152,0.30303030303030304,0.0,0.5454545454545454,0.0,0.9672947789468944,2.8701939386961977,30.295103073120117
normal_traffic_recording_25.pcap,172.19.0.57:50311->172.19.0.8:443,172.19.0.57,50311,172.19.0.8,443,21,9,12,11718,5188,6530,558.0,66,1399,560.4212701174001,314072.0,1.0043391937587816,576.4444444444445,131,1399,584.5646264264849,341715.80246913584,1.0140866688200394,544.1666666666666,66,1294,541.1955643654971,292892.63888888893,0.9945400876548187,0.2139643430709839,0.0,1.2031841278076172,0.354747977957456,0.12584612786490368,0.5349108576774597,0.0,2.414149045944214,0.7447479618850475,0.5546495267319322,0.3074959191409024,0.00011301040649414062,1.3076090812683105,0.46409516385789,0.2153843211162818,11,10,0.5238095238095238,0.47619047619047616,0,0.0,1.0,3,7,11,0,0,0.14285714285714285,0.3333333333333333,0.0,0.5238095238095238,0.0,0.9852281360342515,2.7559113286549373,4.279286861419678
normal_traffic_recording_25.pcap,172.19.0.38:53924->172.19.0.8:443,172.19.0.38,53924,172.19.0.8,443,22,10,12,19293,10197,9096,876.9545454545455,69,1399,576.1753581926511,331978.0433884298,0.6570184979131458,1019.7,131,1399,579.3972816643171,335701.20999999996,0.5682036693775788,758.0,69,1294,545.6601506432369,297745.0,0.7198682726164075,0.2707854339054653,0.0,2.3653829097747803,0.5805064456316368,0.3369877334198764,0.60036744011773,0.0,2.3653829097747803,0.8031298775328011,0.645017600185852,0.0774436430497603,7.009506225585938e-05,0.47219085693359375,0.14351216543810683,0.02059574162873454,4,18,0.18181818181818182,0.8181818181818182,0,0.0,1.0,8,10,4,0,0,0.36363636363636365,0.45454545454545453,0.0,0.18181818181818182,0.0,0.9940302114769565,2.588465279604108,5.6864941120147705
normal_traffic_recording_25.pcap,172.19.0.65:34437->172.19.0.8:443,172.19.0.65,34437,172.19.0.8,443,39955,4584,35371,45770348,607405,45162943,1145.54744087098,66,1399,380.68682566814374,144922.45923728767,0.3323186906853031,132.5054537521815,131,1399,42.13827137425271,1775.6339144101653,0.3180116001342999,1276.8353453394022,66,1294,115.0533966294496,13237.284075973443,0.09010824852977942,0.006142205158952968,0.0,10.74207091331482,0.07618064028939539,0.005803489954902253,0.048912855779242884,0.0,2.9122700691223145,0.12733773132175638,0.016214897818171814,0.006911166380919202,1.1920928955078125e-05,10.74207091331482,0.08210232959794783,0.00674079252541006,39942,13,0.9996746339632087,0.0003253660367913903,0,0.0,1.0,6,7,39942,0,0,0.00015016894005756475,0.00017519709673382555,0.0,0.9996746339632087,0.0,0.5140175032625638,0.9820766378042781,245.40566492080688
normal_traffic_recording_25.pcap,172.19.0.32:36740->172.19.0.8:443,172.19.0.32,36740,172.19.0.8,443,36791,4369,32422,41994454,576965,41417489,1141.432796064255,66,1399,385.33062331021875,148479.6892606417,0.33758502878037794,132.05882352941177,131,1399,33.82081512092171,1143.8475354435664,0.2561041679535274,1277.4501573005984,66,1294,111.98527977156613,12540.702885515937,0.08766313044119398,0.006237818994545424,0.0,4.278794050216675,0.05421760096615199,0.002939548254524885,0.05253877307905819,0.0,4.278794050216675,0.15353473256146005,0.02357291410271906,0.0070692475192628695,1.1920928955078125e-05,4.4750590324401855,0.06135198720008606,0.003764066333399524,36781,10,0.9997281943953684,0.0002718056046315675,0,0.0,1.0,3,7,36781,0,0,8.154168138947025e-05,0.00019026392324209725,0.0,0.9997281943953684,0.0,0.5257624768124456,0.9934538194322295,229.48936080932617
